ID,label,time,acc_x_min,acc_x_max,acc_x_avg,acc_x_std,acc_x_AUC,acc_x_pk,acc_x_cn,acc_x_pw,acc_y_min,acc_y_max,acc_y_avg,acc_y_std,acc_y_AUC,acc_y_pk,acc_y_cn,acc_y_pw,acc_z_min,acc_z_max,acc_z_avg,acc_z_std,acc_z_AUC,acc_z_pk,acc_z_cn,acc_z_pw
0,,0.512,-8.746411483253588,13.665071770334928,4.511526208402438,1.725330702099522,4.5115262084024375,0.4166666666666667,42.083333333333336,3581210.3571282364,-12.308612440191387,11.648325358851675,0.9537579496235489,2.1924500761340227,0.9537579496235491,17.5,15.0,2734987.222900701,1.0813397129186604,31.476076555023923,8.862699710055006,2.8777539019530054,8.862699710055006,0.8333333333333334,22.5,5974657.023157553
1,,0.723,-8.746411483253588,13.665071770334928,4.552888114641625,1.766810909331816,4.552888114641623,1.25,41.25,3725717.0890617515,-12.308612440191387,11.648325358851675,0.8382393299049028,2.2969522978012322,0.8382393299049028,17.5,17.5,3220936.1628183518,1.0813397129186604,31.476076555023923,8.85165674330919,2.924671328605371,8.851656743309187,0.8333333333333334,27.083333333333332,5724753.804402401
2,,0.933,-8.746411483253588,13.665071770334928,4.665596773616199,1.8960179827266135,4.665596773616196,1.25,37.916666666666664,3909708.5514904615,-12.308612440191387,12.574162679425838,0.7720710186256845,2.6635241588971352,0.7720710186256855,12.5,15.416666666666666,3120571.0137756327,1.0813397129186604,31.476076555023923,9.01152024245606,2.830451083736259,9.011520242456058,0.4166666666666667,25.416666666666668,5851031.86188012
3,,1.138,-8.746411483253588,13.665071770334928,4.924375663711534,2.104138952456339,4.924375663711531,0.8333333333333334,40.0,3826294.1815725886,-12.308612440191387,12.574162679425838,0.695474233077593,2.7551922514036127,0.6954742330775933,10.0,15.833333333333334,3356421.3244181057,1.0813397129186604,31.476076555023923,8.715597370210835,2.996637885352833,8.715597370210839,0.4166666666666667,24.583333333333332,6199811.320862837
4,,1.341,-8.746411483253588,13.665071770334928,5.104242981064086,2.0603897947518077,5.104242981064085,0.8333333333333334,39.166666666666664,3887955.2773414063,-12.308612440191387,12.574162679425838,0.7646493813313606,2.8078598987158028,0.7646493813313605,10.833333333333334,15.416666666666666,3287409.5561839347,1.0813397129186604,31.476076555023923,8.417401472395566,2.9221008937608883,8.417401472395571,0.4166666666666667,28.333333333333332,5906606.433336163
5,,1.544,-2.5,13.665071770334928,5.092549726163061,2.0226217604283607,5.092549726163064,0.8333333333333334,38.333333333333336,3647079.5674163685,-12.308612440191387,12.574162679425838,0.7207817776133829,2.7601023613823137,0.7207817776133825,13.333333333333334,16.666666666666668,3586956.583660733,1.0813397129186604,26.232057416267942,8.628005345487955,2.602317424652889,8.628005345487958,0.4166666666666667,34.583333333333336,5984121.887359537
6,,1.747,-1.3086124401913874,10.988038277511961,5.005655717166414,1.9189570842512262,5.005655717166416,0.4166666666666667,19.583333333333332,3377225.4787161197,-8.179425837320574,12.574162679425838,0.7323915092651148,2.1738677387548093,0.7323915092651141,13.75,15.0,2575499.0528956996,1.0813397129186604,20.169856459330145,8.9093653426243,2.3601712824283694,8.909365342624305,0.8333333333333334,27.5,4965806.374877214
7,,1.95,1.3397129186602872,9.76555023923445,5.0671526924316,1.8253787160759547,5.067152692431603,0.4166666666666667,12.916666666666666,2843297.1660332074,-8.179425837320574,12.574162679425838,0.6400028636542614,2.1633703953400194,0.6400028636542616,13.75,15.416666666666666,2513059.8021931583,3.074162679425837,16.483253588516746,8.835715734586977,2.0783557821159757,8.835715734586982,0.8333333333333334,21.25,4098681.150097666
8,,2.155,-0.18660287081339713,9.76555023923445,5.085271271581811,1.8421547333799928,5.0852712715818145,0.4166666666666667,17.5,2769368.2125138086,-8.179425837320574,12.574162679425838,0.5429965755467789,2.2888788441565078,0.5429965755467796,18.333333333333332,14.583333333333334,2698297.076743501,1.4019138755980862,17.533492822966508,8.604254912956842,2.2700524516227323,8.604254912956847,0.8333333333333334,19.166666666666668,4617298.789457061
9,,2.361,-0.18660287081339713,9.76555023923445,5.288447541433499,1.7235330968493021,5.288447541433499,0.8333333333333334,17.916666666666668,2954391.7269055056,-8.24401913875598,12.574162679425838,0.3317901418702049,2.495045676265721,0.3317901418702048,11.25,13.75,2931181.2227061875,1.4019138755980862,17.533492822966508,8.4017468290995,2.19483048896351,8.40174682909951,0.4166666666666667,19.166666666666668,4561042.016291829
