"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.669716826875550E9,"2022-11-29 11:13:46.876 UTC+01:00"
"PAUSE",1.259413594999933E2,1.669716952815784E9,"2022-11-29 11:15:52.816 UTC+01:00"
