Keuwl Accelerometer Data File
2022-11-29 11-54-06

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
46.7470779,6.711867,-3.263810,1.990828,7.724314,75.064278,334.067535
46.7482491,6.728617,-3.302095,1.954936,7.745960,75.381523,333.860321
46.7494240,6.733403,-3.337988,1.914258,7.755337,75.709930,333.630737
46.7505989,6.731010,-3.369094,1.883151,7.759095,75.953903,333.410522
46.7517700,6.733403,-3.393023,1.847259,7.762968,76.233955,333.256042
46.7529488,6.735796,-3.414558,1.801795,7.763802,76.580650,333.118317
46.7541199,6.745367,-3.436093,1.761117,7.772274,76.903625,333.005676
46.7552948,6.769295,-3.467200,1.725225,7.798797,77.219490,332.878693
46.7564697,6.778867,-3.483950,1.682154,7.805164,77.554070,332.799438
46.7576408,6.783652,-3.500700,1.622334,7.804153,78.001808,332.704041
46.7588158,6.805188,-3.524628,1.560120,7.820969,78.493500,332.618896
46.7599869,6.826723,-3.536592,1.509871,7.835263,78.889488,332.613525
46.7611618,6.845866,-3.546163,1.478764,7.850344,79.142365,332.615814
46.7623405,6.884151,-3.543770,1.442872,7.876022,79.443909,332.761841
46.7635117,6.917650,-3.524628,1.406980,7.890277,79.728188,333.000610
46.7646866,6.941578,-3.505485,1.368695,7.896028,80.017952,333.206299
46.7658577,6.965507,-3.488735,1.320838,7.901530,80.377129,333.395599
46.7670326,7.003792,-3.471986,1.275374,7.920503,80.733788,333.631042
46.7682037,7.037292,-3.450450,1.229911,7.933584,81.081703,333.880859
46.7693787,7.063612,-3.419343,1.189233,7.937305,81.383026,334.169373
46.7705574,7.104290,-3.390630,1.170090,7.958418,81.545410,334.486481
46.7717285,7.147361,-3.361916,1.138984,7.980259,81.794434,334.809052
46.7729034,7.190432,-3.337988,1.115055,8.005487,81.993446,335.098022
46.7740746,7.233503,-3.311666,1.100698,8.031328,82.122787,335.400574
46.7752495,7.290931,-3.287738,1.079163,8.070408,82.315475,335.727692
46.7764244,7.357930,-3.273381,1.055235,8.122048,82.534897,336.016754
46.7775955,7.420143,-3.251846,1.016950,8.164999,82.845238,336.334778
46.7787704,7.494320,-3.232703,0.976272,8.219995,83.179001,336.666870
46.7799454,7.582855,-3.218346,0.942772,8.291336,83.471024,337.002472
46.7811203,7.671390,-3.203990,0.899701,8.362131,83.823456,337.331940
46.7822952,7.755138,-3.189633,0.851845,8.428616,84.199455,337.642975
46.7834663,7.841280,-3.180061,0.803988,8.499698,84.572266,337.924805
46.7846413,7.944171,-3.177669,0.753739,8.589270,84.965614,338.198578
46.7858124,8.044670,-3.175276,0.708275,8.677601,85.318245,338.460571
46.7869873,8.142776,-3.180061,0.658026,8.766447,85.695221,338.667480
46.7881584,8.255239,-3.192025,0.588634,8.870427,86.195099,338.860168
46.7893372,8.353344,-3.208775,0.502493,8.962539,86.785973,338.986694
46.7905121,8.449057,-3.237489,0.430708,9.058333,87.274658,339.034302
46.7916832,8.556734,-3.259024,0.361316,9.163486,87.740242,339.149536
46.7928581,8.681161,-3.282953,0.287139,9.285623,88.227966,339.284912
46.7940292,8.812766,-3.306881,0.227318,9.415519,88.616577,339.432007
46.7952042,8.937193,-3.323631,0.169890,9.536708,88.979256,339.600464
46.7963791,9.056833,-3.335595,0.114855,9.652233,89.318199,339.781464
