"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.351715417E-1,9.279054108E0,-4.199367371E0,4.811145172E0
9.452325416E-1,8.879534912E0,-3.047812042E0,3.968846741E0
9.552925417E-1,8.476572876E0,-2.854264526E0,3.055446167E0
9.653535417E-1,8.312364349E0,-3.426075439E0,2.309547272E0
9.754145417E-1,8.208480377E0,-4.053420868E0,1.699865112E0
9.854745417E-1,8.095764771E0,-4.758005676E0,1.272354126E0
9.955355417E-1,7.907306671E0,-5.285957794E0,1.000519409E0
1.005596542E0,7.621251526E0,-5.074148254E0,9.418414307E-1
1.015656542E0,7.490872650E0,-4.302802277E0,9.297166443E-1
1.025717542E0,7.693551178E0,-3.392694855E0,1.076411591E0
1.035778542E0,7.939639435E0,-2.579585724E0,1.369951172E0
1.045838542E0,8.181835785E0,-1.963766327E0,1.477577362E0
1.055899542E0,8.337362366E0,-1.614692230E0,1.613345032E0
1.065960542E0,8.323441315E0,-1.672172699E0,2.075284424E0
1.076020542E0,8.420589294E0,-1.843266907E0,2.479743347E0
1.086081542E0,8.625363464E0,-2.112257538E0,2.572101288E0
1.096142542E0,8.633147278E0,-2.167193298E0,2.385439453E0
1.106202542E0,8.649613037E0,-1.901944885E0,2.248174896E0
1.116263542E0,8.695567474E0,-1.422192535E0,2.123184814E0
1.126324542E0,8.828491058E0,-8.409512329E-1,1.911375275E0
1.136384542E0,9.171577606E0,-1.678010559E-1,1.767524414E0
1.146445542E0,9.683063965E0,4.041595459E-1,1.949246521E0
1.156506542E0,9.642648010E0,3.486250305E-1,1.714384918E0
1.166566542E0,9.993668060E0,-4.700225830E-2,2.127076721E0
1.176627542E0,1.075169174E1,1.733395386E-1,3.626508636E0
1.186688542E0,1.114986374E1,7.984396362E-1,4.480183411E0
1.196748542E0,1.098805023E1,4.625381470E-1,4.362228699E0
1.206809542E0,1.048943710E1,-1.344204712E-1,5.120851135E0
1.216870542E0,1.043165726E1,-2.742297363E-1,6.934779053E0
1.226930542E0,1.097757202E1,-2.718347168E-1,7.659571838E0
1.236991542E0,1.232387238E1,8.792715454E-1,6.802154846E0
1.247052542E0,1.067714676E1,3.745211792E-1,8.059689789E0
1.257112542E0,9.902208252E0,-2.221380615E-1,9.463021545E0
1.267173542E0,1.291394531E1,1.556313629E0,9.095984802E0
1.277234542E0,1.442729828E1,3.038681030E0,8.829389191E0
1.287294542E0,1.446292419E1,4.320315857E0,1.103969284E1
1.297355542E0,1.810050980E1,6.773264923E0,1.131691635E1
1.307416542E0,2.202729401E1,9.022188263E0,1.002854553E1
1.317476542E0,2.343077545E1,9.381590881E0,1.012344818E1
1.327537542E0,2.285776703E1,9.415869598E0,8.032895508E0
1.337598542E0,2.137734558E1,8.854985962E0,6.934030609E0
1.347658542E0,2.155308014E1,8.079598389E0,9.194330292E0
1.357719542E0,2.242621445E1,7.566764832E0,1.250499573E1
1.367780542E0,2.229733246E1,6.553821259E0,1.365759888E1
1.377840542E0,2.097498230E1,5.840255127E0,1.244182709E1
1.387901542E0,1.812326248E1,3.978127441E0,1.147229324E1
1.397962542E0,1.595008163E1,2.169288940E0,1.024050476E1
1.408022542E0,1.476140350E1,1.077609100E0,9.059161377E0
1.418083542E0,1.300256104E1,-4.334985352E-1,7.852071533E0
1.428144542E0,1.092458221E1,-1.625020752E0,7.224875793E0
1.438204542E0,9.705666962E0,-2.563718719E0,6.277495880E0
1.448265542E0,9.042994995E0,-2.396366730E0,5.466033325E0
1.458326542E0,7.015311584E0,-2.449655914E0,6.166426849E0
1.468386542E0,4.847220154E0,-2.743943939E0,7.001540222E0
1.478447542E0,4.114942932E0,-2.322570190E0,6.785389709E0
1.488508542E0,3.897744598E0,-1.514101410E0,5.495072937E0
1.498568542E0,3.363355865E0,-3.501219177E-1,3.984863434E0
1.508629542E0,3.399430847E0,2.523153076E0,4.813240814E0
1.518690542E0,5.707780609E0,4.860991516E0,6.845265198E0
1.528750542E0,6.623426514E0,4.513414307E0,7.463180237E0
1.538811542E0,5.625601501E0,4.591851196E0,7.010820923E0
1.548872542E0,4.407734070E0,4.882995758E0,6.297404480E0
1.558932542E0,3.325334930E0,4.816234589E0,4.613406372E0
1.568993542E0,2.243833923E0,4.135899353E0,3.108585663E0
1.579054542E0,1.237027588E0,2.945874023E0,2.123783569E0
1.589114542E0,1.039588165E0,2.133812714E0,1.979034576E0
1.599175542E0,1.170565796E0,1.585802307E0,2.172432404E0
1.609236542E0,1.512305145E0,1.537752228E0,1.606758728E0
1.619297542E0,2.327958984E0,2.008672943E0,1.261726227E0
1.629357542E0,2.850522308E0,1.882185974E0,8.364605713E-1
1.639418542E0,2.755020905E0,1.866768036E0,5.893244934E-1
