,ID,label,time,acc_x_pk,acc_x_cn,acc_x_pw,acc_y_pk,acc_y_cn,acc_y_pw,acc_z_pk,acc_z_cn,acc_z_pw
33,33,,61.7397652,-0.2379611153972864,-1.1540676914906962,0.0426114904289035,0.2410179720017625,-1.5499268967576956,-0.2503776237892953,-0.7169402027963354,0.8252283348443011,-1.2574803631667557
186,186,walking,226.7474518,0.7208005466421399,-0.7572124057188409,1.5771028726931209,-0.2375593717766222,-0.3611871870343657,1.4909278627478633,1.1999805058515214,0.8268884690190614,-0.9151002784002742
144,144,,34.9070435,-0.7169197903226574,0.0336448857868302,0.4446060641531407,-0.7169197903226574,-1.153983340567866,0.3685749214082248,-0.7169197903226574,1.617149187593092,-0.8581741605799408
199,199,,229.3291321,-0.2375593717766222,-0.7572124057188409,1.8659601070090743,0.2416205874327588,0.0348380316501098,1.4139937509139198,1.1999805058515214,0.4308632503345859,-1.2526583391573116
37,37,,62.5472984,-0.2379611153972864,-0.362349280956697,0.6729533910989989,-0.7169402027963354,-1.5499268967576956,0.0418269999349219,-0.2379611153972864,-0.362349280956697,-1.3506777559820164
16,16,,58.3077545,-0.2379611153972864,-1.5499268967576956,0.404388080745936,-0.2379611153972864,-0.362349280956697,-0.0625424228263752,-0.2379611153972864,-0.362349280956697,-1.4347152720190988
75,75,,70.2188492,-0.7169402027963354,0.4293691295773021,0.9463429892886402,-0.2379611153972864,0.4293691295773021,0.4008939973164919,-0.2379611153972864,0.8252283348443011,-1.1468139128856882
182,182,,225.9533539,-0.2375593717766222,-0.7572124057188409,1.2021275614692175,-0.7167393309860033,0.0348380316501098,1.662236818369852,3.1167003426890454,1.2229136877035365,-0.8453479137305165
10,10,,57.0964584,-0.2379611153972864,-0.7582084862236964,0.0426514702333183,0.2410179720017625,-0.362349280956697,0.0013673873392703,-0.2379611153972864,0.0335099243103023,-1.334615912370933
251,251,,239.6488647,-0.2375593717766222,-1.153237624403316,1.0775543890937007,-0.2375593717766222,0.4308632503345859,1.3294841918452234,6.950140016364094,1.6189389063880115,-1.4354613527834952
66,66,,68.4019012,0.2410179720017625,0.8252283348443011,0.4514969688508613,-0.7169402027963354,-1.5499268967576956,-0.46480100250475,0.2410179720017625,0.4293691295773021,-1.295100772554494
140,140,,34.1043129,-0.2379202904499306,-0.362231189664735,0.8682051885964804,0.7200787092955229,0.0336448857868302,0.6788859397275427,-0.2379202904499306,1.617149187593092,-1.1930293965848169
168,168,,39.7234344,-0.7169197903226574,2.804777413947788,1.4596272070277796,-0.2379202904499306,1.2212731121415266,0.4459328202042478,-0.7169197903226574,1.2212731121415266,-1.0728776027697562
184,184,walking,226.3500977,-0.2375593717766222,-0.7572124057188409,0.9284820635814376,-0.2375593717766222,-0.7572124057188409,1.18098953173907,1.1999805058515214,0.4308632503345859,-1.1789838036733862
73,73,,69.8150787,-0.2379611153972864,0.4293691295773021,0.091668101411876,0.2410179720017625,-0.362349280956697,-0.2311193990668274,-0.2379611153972864,-0.362349280956697,-1.4262406003543164
18,18,,58.7115211,0.7199970594008113,0.0335099243103023,1.1048642312661054,-0.2379611153972864,-0.7582084862236964,-0.0890072373158145,0.7199970594008113,0.8252283348443011,-0.9822642522020624
101,101,,26.2776604,-0.7169197903226574,0.8253970366899613,0.5819114859177875,0.7200787092955229,0.0336448857868302,0.7193920455977205,-0.7169197903226574,1.617149187593092,-1.2310333144899122
197,197,,228.9324036,0.2416205874327588,-1.153237624403316,1.9478921133492249,0.7208005466421399,-0.7572124057188409,1.0258720025668373,1.1999805058515214,0.4308632503345859,-1.0178942225601082
112,112,,28.4851799,-0.2379202904499306,0.0336448857868302,0.3229810451006553,-0.7169197903226574,-1.153983340567866,0.1095204388790788,-0.2379202904499306,1.617149187593092,-1.309325450030686
172,172,,40.5261612,-0.7169197903226574,0.8253970366899613,0.8204295436665036,-0.7169197903226574,-0.7581072651163008,-0.2251469393440323,-0.2379202904499306,0.0336448857868302,-1.5006714354210988
86,86,,72.4395599,-0.2379611153972864,-1.1540676914906962,0.4415817961401183,-0.7169402027963354,-1.1540676914906962,-0.195549218533674,-0.7169402027963354,-0.362349280956697,-1.5140434044922877
55,55,,66.1811905,-0.7169402027963354,-1.1540676914906962,0.3408239171611346,0.2410179720017625,-1.1540676914906962,-0.1204425097432286,-0.2379611153972864,0.0335099243103023,-1.2531133421834355
97,97,,25.474926,-0.7169197903226574,0.4295209612383955,0.1566326646702973,-0.2379202904499306,-1.153983340567866,-0.057544385453021,2.6360767087864305,0.8253970366899613,-1.32150602450051
202,202,,229.9242401,-0.2375593717766222,-1.5492628430877915,1.976379212058443,-0.2375593717766222,-1.153237624403316,0.8491707880985611,0.7208005466421399,1.2229136877035365,-1.1196771504579637
38,38,,62.7491837,-0.2379611153972864,-0.7582084862236964,0.8160086383465438,0.7199970594008113,0.0335099243103023,0.5859793136462492,-0.2379611153972864,0.4293691295773021,-1.0526747406009331
179,179,,41.9309425,-0.7169197903226574,-1.153983340567866,0.2774019364162604,-0.7169197903226574,-1.5498594160194317,-0.5667955880669818,-0.2379202904499306,1.2212731121415266,-1.33283715258164
84,84,,72.0357895,-0.7169402027963354,-0.7582084862236964,0.3986380603283463,0.2410179720017625,-1.1540676914906962,-0.2542043124990727,-0.7169402027963354,0.4293691295773021,-1.291427315523879
254,254,,240.2439423,-0.2375593717766222,-0.7572124057188409,1.0957451250785046,-0.7167393309860033,0.0348380316501098,1.3593801914844743,5.51260013873595,1.6189389063880115,-1.3919621655419645
92,92,,24.4715061,-0.7169197903226574,0.8253970366899613,0.8295214678851185,0.7200787092955229,0.4295209612383955,0.5366432172076457,-0.2379202904499306,0.8253970366899613,-1.385441396717605
201,201,,229.7258606,-0.2375593717766222,-1.5492628430877915,1.2902615562438278,-0.2375593717766222,-1.153237624403316,0.7501262214686031,0.7208005466421399,0.4308632503345859,-1.301057081099278
127,127,,31.4954338,-0.7169197903226574,0.8253970366899613,0.9894804879118104,0.7200787092955229,0.0336448857868302,0.692614782289591,1.6780777090409764,1.2212731121415266,-1.463345860971093
125,125,,31.0940666,0.7200787092955229,0.8253970366899613,0.9887015868705316,0.7200787092955229,0.0336448857868302,0.540334536400133,0.7200787092955229,3.992405640302484,-1.1746967850474244
78,78,,70.824501,-0.7169402027963354,0.8252283348443011,0.6745967442002189,-0.7169402027963354,0.0335099243103023,0.2931577258088326,-0.7169402027963354,0.4293691295773021,-1.3770886035295526
183,183,,226.1517334,-0.2375593717766222,-1.5492628430877915,0.1897822591928981,0.7208005466421399,-1.153237624403316,1.0114002169407308,-0.2375593717766222,0.4308632503345859,-1.194452842601635
111,111,,28.2844963,-0.2379202904499306,-0.362231189664735,0.5661676600606083,-0.7169197903226574,0.0336448857868302,0.8723264132254416,-0.2379202904499306,2.013025263044658,-1.4283369676863555
