ID,label,time,acc_x_min,acc_x_max,acc_x_avg,acc_x_std,acc_x_AUC,acc_x_pk,acc_x_cn,acc_x_pw,acc_y_min,acc_y_max,acc_y_avg,acc_y_std,acc_y_AUC,acc_y_pk,acc_y_cn,acc_y_pw,acc_z_min,acc_z_max,acc_z_avg,acc_z_std,acc_z_AUC,acc_z_pk,acc_z_cn,acc_z_pw
0,stairs_up,55.0776253,1.148976824,0.813709305,1.068937982,-0.39320267,1.068937982,-0.237961115,0.033509924,0.053501799,-1.049162831,-1.262126349,-1.227588196,-0.318508343,-1.227588196,-0.716940203,-1.945786102,-0.096731038,0.553373139,-0.136047046,0.129499765,-1.332061014,0.129499765,-0.716940203,1.616946745,-1.469865843
1,stairs_up,55.2795067,1.148976824,0.813709305,1.055622327,-0.319052069,1.055622327,-0.716940203,-0.758208486,0.107878595,-1.049162831,-1.302519148,-1.268381102,-0.536529198,-1.268381102,-0.716940203,-1.549926897,0.034641129,0.553373139,-0.136047046,0.138380639,-1.347556757,0.138380639,-0.716940203,1.22108754,-1.473280156
2,stairs_up,55.4813919,1.148976824,0.808440736,1.042632653,-0.409022165,1.042632653,-0.716940203,0.42936913,0.813880116,-1.219544191,-1.302519148,-1.290027966,-0.406196721,-1.290027966,-0.237961115,0.825228335,0.908354377,0.553373139,-0.136047046,0.151709022,-1.360049578,0.151709022,-0.716940203,3.200383566,-1.230887658
3,stairs_up,55.6832771,1.148976824,0.780341264,1.046915639,-0.407549635,1.046915639,-0.716940203,0.033509924,0.16153338,-1.219544191,-1.302519148,-1.276961922,-0.34344308,-1.276961922,-0.237961115,-1.154067691,0.146762638,0.57787002,0.115441668,0.180674982,-1.126906433,0.180674982,-0.237961115,0.42936913,-1.31110622
4,stairs_up,55.8851585,1.297420565,0.780341264,1.069017885,-0.5711758,1.069017885,0.241017972,-0.362349281,0.209963753,-1.219544191,-1.288820753,-1.257625431,-0.215608574,-1.257625431,-0.237961115,-1.549926897,0.004384701,0.57787002,0.115441668,0.190507395,-1.149675188,0.190507395,-0.237961115,0.42936913,-1.447313362
5,stairs_up,56.0870438,1.29778637,0.772262851,1.073006239,-0.626063767,1.073006239,-0.237961115,1.22108754,0.785466283,-1.219544191,-1.288820753,-1.227735273,-0.237543751,-1.227735273,-0.716940203,0.42936913,0.681963247,0.57787002,0.115441668,0.19075795,-1.15476754,0.19075795,-0.237961115,0.825228335,-1.269423798
6,stairs_up,56.2889252,1.29778637,0.772262851,1.074553875,-0.633123402,1.074553875,-0.237961115,-1.154067691,0.111753236,-1.219544191,-1.288820753,-1.216431829,-0.296755,-1.216431829,-0.716940203,-1.154067691,0.08393206,0.57787002,0.115441668,0.182910876,-1.184524388,0.182910876,-0.716940203,0.825228335,-1.265861007
7,stairs_up,56.4908066,1.159579981,0.772262851,1.059874906,-0.477866987,1.059874906,-0.716940203,0.033509924,0.006810837,-1.219544191,-1.288820753,-1.236498058,-0.372888373,-1.236498058,-0.716940203,-1.549926897,-0.091509812,0.538748111,0.115441668,0.177230633,-1.13812667,0.177230633,-0.716940203,1.22108754,-1.273670996
8,stairs_up,56.692688,1.159579981,0.772262851,1.052420046,-0.416511877,1.052420046,-0.716940203,1.22108754,0.808539352,-1.219544191,-1.288820753,-1.23605517,-0.418645237,-1.23605517,-0.237961115,-0.362349281,0.267213054,0.538748111,0.115441668,0.20052743,-1.149502439,0.20052743,-0.716940203,0.825228335,-1.239482198
9,stairs_up,56.8945732,1.159579981,1.357781919,1.106664136,0.185666766,1.106664136,0.719997059,-1.154067691,0.703331719,-1.219544191,-1.288820753,-1.236458933,-0.465616745,-1.236458933,-0.237961115,-0.362349281,0.239011649,0.538748111,0.115441668,0.225809566,-1.086480278,0.225809566,-0.237961115,0.42936913,-1.12794149
