ID,label,time,acc_x_min,acc_x_max,acc_x_avg,acc_x_std,acc_x_AUC,acc_x_pk,acc_x_cn,acc_x_pw,acc_y_min,acc_y_max,acc_y_avg,acc_y_std,acc_y_AUC,acc_y_pk,acc_y_cn,acc_y_pw,acc_z_min,acc_z_max,acc_z_avg,acc_z_std,acc_z_AUC,acc_z_pk,acc_z_cn,acc_z_pw,gyr_x_min,gyr_x_max,gyr_x_avg,gyr_x_std,gyr_x_AUC,gyr_x_pk,gyr_x_cn,gyr_x_pw,gyr_y_min,gyr_y_max,gyr_y_avg,gyr_y_std,gyr_y_AUC,gyr_y_pk,gyr_y_cn,gyr_y_pw,gyr_z_min,gyr_z_max,gyr_z_avg,gyr_z_std,gyr_z_AUC,gyr_z_pk,gyr_z_cn,gyr_z_pw
1,walking,2.721,-0.3423361061388647,-0.5794194243251019,-0.3802253070834751,-0.3280570752478267,-0.3802253070834743,-0.9155141083666576,-0.8679986946386552,-0.7366192237372667,0.1523961064696879,-0.6555506573052527,-0.5286686105620718,-0.7895272726960335,-0.5286686105620708,-0.9155141083666576,-0.4872181514050814,-1.0199594071556135,1.456577259155471,0.2258652555597711,1.0986797692749877,-0.5108639169105207,1.0986797692749872,-0.9155141083666576,1.0359040215292132,0.079902895809493,1.276376184685177,-1.1895951120509618,0.6655773463892265,-1.5323749550233652,0.6655773463892262,-0.5053701199986387,-1.1934408122936322,-1.558761749801306,-0.5523404598754125,0.8290397848884135,-0.7378062257177187,0.8706393970107003,-0.7378062257177179,-0.5053701199986387,-0.4673295017527389,0.9500272813643088,0.2056465137357431,-0.0816630917339956,1.0278849060525008,-0.1444728906966123,1.0278849060525008,-0.5053701199986387,0.2587818087881546,0.0726497654437393
2,walking,2.925,-0.3423361061388647,-0.5794194243251019,-0.5712406535710645,-0.3310627641144975,-0.5712406535710643,-0.9155141083666576,-0.1064376081715079,-0.3882360846197742,0.1523961064696879,-0.6555506573052527,-0.4887911358271433,-0.7082181795516885,-0.4887911358271428,-0.9155141083666576,0.6551234782956395,-0.595808402647647,1.456577259155471,0.2258652555597711,1.341618058185,-0.3747139997338891,1.341618058184999,0.2668872355617649,1.0359040215292132,0.5301960737284156,1.276376184685177,-1.1895951120509618,0.8098160050866112,-1.5921693195305835,0.809816005086611,-0.5053701199986387,-1.1934408122936322,-1.6634383487533768,-0.5523404598754125,0.9260377244103268,0.0415581070428199,1.4258785293162262,0.0415581070428188,-0.5053701199986387,-1.1934408122936322,0.1354818448569947,0.1043217769034036,-0.0816630917339956,0.7552697813210744,0.0968444301907824,0.7552697813210747,-0.5053701199986387,0.9848931193290482,0.0474686247515408
3,walking,3.129,-0.3423361061388647,-0.5794194243251019,-0.6336891420785699,-0.4149710485031996,-0.6336891420785692,0.2668872355617649,0.6551234782956395,-0.351549962808599,0.1523961064696879,-0.6555506573052527,-0.4930234233804621,-0.7138518974831796,-0.4930234233804617,0.2668872355617649,0.2743429350620656,-0.6579532314884826,1.456577259155471,0.2258652555597711,1.2576201425557183,-0.3180020764770184,1.25762014255572,0.2668872355617649,1.0359040215292132,0.5163975150872722,1.276376184685177,-1.1895951120509618,0.4789428455093772,-1.5229517876528094,0.478942845509377,-0.5053701199986387,-0.4673295017527389,-1.46141203776853,-0.5523404598754125,0.9260377244103268,0.8282010693435758,1.259884483780293,0.8282010693435762,-0.5053701199986387,-0.4673295017527389,0.8616068110626285,0.0936047374307522,-0.0816630917339956,-0.4401943732425953,0.2931850654412378,-0.4401943732425951,-0.5053701199986387,-1.1934408122936322,-0.5219915039271943
4,walking,3.333,-0.3423361061388647,-0.6791775916784032,-0.593384523099404,-0.428289330773027,-0.5933845230994034,-0.9155141083666576,0.2743429350620656,-0.5361143913494973,0.1523961064696879,-0.8389875505634614,-0.66276698650503,-1.01576238235988,-0.6627669865050295,1.449288579490187,1.0359040215292132,-0.7797860690737969,1.456577259155471,0.1264352400727637,1.1318475198400204,-0.4776889498485687,1.131847519840021,-0.9155141083666576,1.7974651079963602,0.4895320865799412,1.276376184685177,-1.0818196236932802,0.2328613702970716,-1.7085080701362685,0.2328613702970715,2.6185376196042,2.4371157404108343,-1.3499423927787464,-0.1090447362339267,0.9260377244103268,1.3271496743993063,0.8486687215153462,1.327149674399307,-0.5053701199986387,-0.4673295017527389,0.8152460168999359,0.0936047374307522,-0.9190786362731812,-1.2660723386027728,-0.3588663949137152,-1.2660723386027732,-0.5053701199986387,0.2587818087881546,-0.2359173712158157
5,walking,3.537,-0.3423361061388647,-0.6791775916784032,-0.5261555785918087,-0.3500047596384956,-0.5261555785918084,-0.9155141083666576,-1.6295597811058025,-1.008077887708975,0.1523961064696879,-0.6224073188095837,-0.4673912091908505,-0.6836046048364308,-0.4673912091908494,0.2668872355617649,-0.1064376081715079,-0.5999874672770267,1.456577259155471,0.6432744294854268,1.5745754099213316,-0.0812316331093017,1.5745754099213325,0.2668872355617649,-0.4872181514050814,0.459475151978305,1.276376184685177,-1.0818196236932802,0.4769999443970482,-1.557273206644236,0.4769999443970484,-0.5053701199986387,-0.4673295017527389,-1.5600886560002982,-0.1090447362339267,0.9260377244103268,1.0952774759786612,0.9223576245712808,1.0952774759786623,-0.5053701199986387,-0.4673295017527389,0.320051415388935,0.0936047374307522,1.7850083666210488,-0.2650432878923331,0.8799577018680389,-0.2650432878923317,-0.5053701199986387,0.2587818087881546,0.6549862676133633
6,walking,3.741,-0.3938577794720013,-0.6791775916784032,-0.4707193747605336,-0.4424474595875822,-0.4707193747605332,-0.9155141083666576,-1.2487792378722289,-1.0046719300819984,-0.105212260195995,-0.6224073188095837,-0.5013064621832989,-0.5788574791790554,-0.5013064621832976,-0.9155141083666576,-0.8679986946386552,-0.7297802179170833,0.9767428797998736,0.6432744294854268,1.5779142540971207,-0.0492419762064647,1.5779142540971192,0.2668872355617649,-0.1064376081715079,0.4176270673109006,1.726491842536532,-1.0818196236932802,0.7940988050435909,-1.7678661932942896,0.794098805043591,-0.5053701199986387,-1.1934408122936322,-1.8388006955628453,-0.1090447362339267,0.8452061081420659,-0.6100387286890334,0.0481107322302387,-0.6100387286890337,-0.5053701199986387,1.7110044298699414,0.3095272456004263,0.0936047374307522,1.7850083666210488,0.5873973255110299,0.8851722762242422,0.5873973255110292,-0.5053701199986387,-0.4673295017527389,0.2166492107740622
7,walking,3.945,-0.4099970988293694,-0.6791775916784032,-0.6747875374449434,-0.2116482623701851,-0.6747875374449434,-0.9155141083666576,-0.1064376081715079,-0.6861620816092944,-0.105212260195995,-0.6224073188095837,-0.605814420606712,-0.5970268812491214,-0.6058144206067121,-0.9155141083666576,-0.1064376081715079,-0.6999197083645157,0.971776935382222,0.6432744294854268,1.3038157925699911,0.0609110563548982,1.3038157925699898,-0.9155141083666576,1.0359040215292132,0.702477203345279,1.5900931583391518,-1.0818196236932802,0.6045644517572807,-1.668919249945256,0.6045644517572804,-0.5053701199986387,-1.1934408122936322,-1.696020887282663,-0.1090447362339267,0.36991620448469,-0.2728148923416493,0.3475244722097607,-0.2728148923416498,-0.5053701199986387,-0.4673295017527389,0.4429964838490701,0.0634021716441896,1.7850083666210488,1.058826331229443,0.6110759154651256,1.058826331229443,-0.5053701199986387,0.2587818087881546,0.6556853723492647
8,walking,4.15,-0.4099970988293694,-0.6791775916784032,-0.7530083271709146,-0.2329265198631332,-0.7530083271709144,-0.9155141083666576,-0.1064376081715079,-0.3261206312324863,-0.105212260195995,-0.6224073188095837,-0.5126684990800132,-0.5270795705247733,-0.5126684990800122,0.2668872355617649,-0.8679986946386552,-0.7674872029682549,0.971776935382222,0.6432744294854268,1.5690296538169832,0.0848767693067916,1.5690296538169812,0.2668872355617649,0.2743429350620656,0.508965447672492,1.5900931583391518,-1.0818196236932802,0.7112790203150564,-1.7224480312415966,0.7112790203150557,-0.5053701199986387,-0.4673295017527389,-1.708333978129487,-0.1090447362339267,0.36991620448469,0.1715294919004151,0.5863499191137828,0.1715294919004153,-0.5053701199986387,-1.1934408122936322,-0.2923263543211086,-0.3029257230573459,1.7850083666210488,0.4940510765470404,1.0033049513598526,0.4940510765470418,-0.5053701199986387,0.2587818087881546,0.8387668830831982
10,walking,4.56,-0.4099970988293694,-0.7530117615944979,-0.6687719226719339,-0.3181770782354013,-0.6687719226719328,-0.9155141083666576,-0.4872181514050814,-0.654086534850546,-0.105212260195995,-0.7907492262182796,-0.6991098426188941,-0.787320984680749,-0.6991098426188936,-0.9155141083666576,1.0359040215292132,-0.6573095695112846,0.971776935382222,0.4621345992912741,1.231001937068992,-0.1083145173446969,1.2310019370689935,-0.9155141083666576,1.416684564762787,0.9502110808574884,1.5900931583391518,-1.1518736911257732,0.563850523970564,-1.6597973388153964,0.563850523970564,-0.5053701199986387,0.9848931193290482,-1.389420408823551,-0.1645784862285745,0.36991620448469,0.8824863063925313,0.3392799353018354,0.8824863063925307,-0.5053701199986387,-0.4673295017527389,-0.0645738336555891,-0.3029257230573459,0.5951669751522446,-0.706864800540776,0.3427816264134272,-0.7068648005407764,-0.5053701199986387,0.2587818087881546,0.7002884983235986
12,walking,4.97,-0.2641224815608501,-0.7530117615944979,-0.5503639786339625,-0.4055833146321214,-0.5503639786339611,-0.9155141083666576,-1.2487792378722289,-1.0054796534309016,0.0735617388394668,-0.6811465028761656,-0.4578730116150942,-0.7454575269112563,-0.4578730116150937,-0.9155141083666576,-0.8679986946386552,-0.8699713299308334,1.0239193517675649,0.5461414770624752,1.520267578801917,0.128754994851231,1.5202675788019184,-0.9155141083666576,0.2743429350620656,0.6117712797412099,1.3436012504681718,-1.1518736911257732,0.711684999651961,-1.4857205177644015,0.7116849996519609,-0.5053701199986387,-1.1934408122936322,-1.5660461070213318,-0.1645784862285745,0.4238039486635309,-0.4164445820336773,0.4685270236698643,-0.4164445820336767,-0.5053701199986387,0.2587818087881546,0.6894398773742141,-0.3029257230573459,0.5951669751522446,0.3392569550901365,0.7899662573476757,0.3392569550901363,-0.5053701199986387,0.2587818087881546,0.822778977632621
13,walking,5.174,-0.2796410578660118,-0.7530117615944979,-0.7899100303376559,-0.2876531983119934,-0.7899100303376548,-0.9155141083666576,0.6551234782956395,-0.6298266372717798,0.0735617388394668,-0.6811465028761656,-0.6092956461972467,-0.7372976562666405,-0.6092956461972464,-0.9155141083666576,1.0359040215292132,-0.7197408820866423,1.0239193517675649,0.5461414770624752,1.3472136477845091,0.1501527724675996,1.3472136477845098,-0.9155141083666576,0.2743429350620656,0.6550933033839632,1.3436012504681718,-1.1518736911257732,0.5349099969540804,-1.3818734178221503,0.5349099969540799,-0.5053701199986387,-1.1934408122936322,-1.6360421509793164,-0.1645784862285745,0.4238039486635309,0.0318726000052393,0.7783494021642418,0.031872600005239,-0.5053701199986387,-1.1934408122936322,-0.0141230041380595,-0.0155142099271516,0.5951669751522446,0.4174659744923976,0.6908290665655015,0.4174659744923978,-0.5053701199986387,-0.4673295017527389,0.4034555810044565
