"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.224658750E-1,1.030322433E1,-3.567830658E0,1.996099091E0
8.325258750E-1,1.040561142E1,-3.797602844E0,2.195783844E0
8.425858750E-1,1.011012589E1,-4.243974609E0,2.323917389E0
8.526458750E-1,9.760602722E0,-4.337080994E0,2.333198090E0
8.627058750E-1,9.543254700E0,-4.418661346E0,2.377356262E0
8.727658750E-1,9.219927063E0,-4.650229797E0,2.441423035E0
8.828258750E-1,8.411757660E0,-5.540428619E0,1.671873322E0
8.928858750E-1,8.391250305E0,-4.652924194E0,2.416724396E0
9.029458750E-1,9.163494415E0,-3.224295044E0,3.625161438E0
9.130058750E-1,8.807085571E0,-3.689228210E0,3.039878540E0
9.230658750E-1,8.637338562E0,-4.257895660E0,2.653232574E0
9.331258750E-1,8.573421478E0,-4.392016754E0,2.471510468E0
9.431868750E-1,8.160579987E0,-4.505031738E0,2.123184814E0
9.532468750E-1,7.753127289E0,-4.743036804E0,1.774709473E0
9.633068750E-1,7.534282379E0,-5.015170898E0,1.614991608E0
9.733658750E-1,7.434290314E0,-5.189857635E0,1.702260132E0
9.834268750E-1,7.396718445E0,-5.279670868E0,2.320025482E0
9.934868750E-1,7.644902344E0,-5.268743591E0,3.629951477E0
1.003546875E0,7.551197205E0,-5.154082031E0,2.937641144E0
1.013606875E0,7.198231201E0,-4.887037354E0,2.126777344E0
1.023666875E0,7.099436646E0,-4.634961548E0,2.191592560E0
1.033726875E0,6.756499786E0,-4.651277618E0,1.940115509E0
1.043786875E0,6.464457092E0,-4.690346375E0,1.844015350E0
1.053846875E0,6.130800934E0,-4.681963806E0,1.867067413E0
1.063906875E0,5.920787659E0,-4.547243958E0,1.926044769E0
1.073966875E0,5.993835754E0,-4.410278778E0,2.096540222E0
1.084026875E0,6.169720001E0,-4.343218231E0,2.271226959E0
1.094086875E0,6.664590912E0,-4.175417175E0,2.504741364E0
1.104146875E0,7.204069061E0,-3.912264404E0,2.829715576E0
1.114206875E0,7.363637238E0,-3.727398834E0,2.949915619E0
1.124266875E0,7.347171478E0,-3.771407318E0,2.841391296E0
1.134326875E0,7.166497192E0,-3.919898529E0,2.692750397E0
1.144386875E0,6.819369049E0,-4.039350128E0,2.518812103E0
1.154446875E0,6.477929077E0,-4.146227875E0,2.231709137E0
1.164506875E0,6.295458527E0,-4.249513092E0,2.009571075E0
1.174566875E0,6.218518524E0,-4.486919403E0,1.844314728E0
1.184626875E0,6.148015137E0,-4.634362793E0,1.805695038E0
1.194686875E0,6.062991943E0,-4.810696106E0,1.758692780E0
1.204746875E0,5.915249176E0,-4.901557159E0,1.694326630E0
1.214806875E0,5.862109680E0,-4.763843536E0,1.480421448E0
1.224866875E0,6.243217163E0,-4.912783813E0,1.266216888E0
1.234926875E0,6.873406677E0,-4.737648010E0,1.335073700E0
1.244987000E0,7.313042450E0,-4.283043365E0,1.079704742E0
1.255047000E0,7.694000244E0,-3.952830048E0,6.985972595E-1
1.265107000E0,7.990533600E0,-3.968247986E0,5.171745300E-1
1.275167000E0,8.052953796E0,-4.276457062E0,4.315525818E-1
1.285227000E0,8.122708740E0,-4.568649445E0,3.870950317E-1
1.295287000E0,8.354426880E0,-4.798571320E0,4.149371338E-1
1.305347000E0,8.752898254E0,-4.929848328E0,4.866380310E-1
1.315407000E0,9.234297180E0,-4.983287201E0,5.848338318E-1
1.325467000E0,9.653575287E0,-5.172942810E0,9.355545044E-1
1.335527000E0,1.010368927E1,-5.410199432E0,1.239871674E0
1.345587000E0,1.057026901E1,-5.612428894E0,1.336869965E0
1.355647000E0,1.114133148E1,-5.942791901E0,1.362466736E0
1.365707000E0,1.173604477E1,-6.366261292E0,1.413660278E0
1.375767000E0,1.231668732E1,-6.918163605E0,1.366358643E0
1.385827000E0,1.297247360E1,-7.567213898E0,1.256187744E0
1.395887000E0,1.370100861E1,-8.099357300E0,1.282083893E0
1.405947000E0,1.440230026E1,-8.434660034E0,1.436113586E0
1.416007000E0,1.516032394E1,-8.361761627E0,1.862876129E0
1.426067000E0,1.600112549E1,-7.825876007E0,2.423759766E0
1.436127000E0,1.659868286E1,-6.822961578E0,3.138074341E0
1.446187000E0,1.657832520E1,-5.280119934E0,3.833228760E0
1.456247000E0,1.642848679E1,-3.817062378E0,4.353995819E0
1.466307000E0,1.630828674E1,-2.691253510E0,4.410428467E0
1.476367000E0,1.606324631E1,-2.161056061E0,4.235142975E0
1.486427000E0,1.546988022E1,-2.255958710E0,3.822451172E0
1.496487000E0,1.442535233E1,-2.606230316E0,3.062032471E0
1.506547000E0,1.319461166E1,-2.806663513E0,2.012415161E0
1.516607000E0,1.218421280E1,-2.803669739E0,9.786648560E-1
1.526667000E0,1.152827682E1,-2.767445068E0,1.806742859E-1
1.536727000E0,1.107786346E1,-2.639311523E0,-5.004093933E-1
1.546787000E0,1.065903442E1,-2.704276428E0,-1.007704468E0
1.556847000E0,1.024754013E1,-3.030148773E0,-1.221010895E0
1.566907000E0,9.889185333E0,-3.501817932E0,-1.029708710E0
1.576967000E0,9.429790649E0,-4.079167328E0,-7.789801025E-1
1.587027000E0,8.811725922E0,-4.656217346E0,-6.923103333E-1
1.597087000E0,8.295000458E0,-5.075794830E0,-6.104306030E-1
1.607147000E0,7.933352509E0,-5.431155853E0,-5.947132874E-1
1.617207000E0,7.579787750E0,-5.632786560E0,-8.026309204E-1
1.627267000E0,7.013215942E0,-5.757327576E0,-1.435814209E0
1.637328000E0,6.378835144E0,-5.743855591E0,-2.062860260E0
1.647388000E0,5.744454346E0,-5.523064728E0,-2.116598511E0
1.657448000E0,5.017865295E0,-5.391638031E0,-1.590742035E0
1.667508000E0,4.419559479E0,-5.205874329E0,-7.098239136E-1
1.677568000E0,4.084855499E0,-4.834047546E0,7.379653931E-2
1.687628000E0,3.880829773E0,-4.496948547E0,7.128176880E-1
1.697688000E0,3.849993896E0,-4.141138458E0,1.347497864E0
1.707748000E0,3.993395691E0,-3.697461090E0,1.745969238E0
1.717808000E0,4.419110413E0,-3.222648468E0,1.705403595E0
