Keuwl Accelerometer Data File
2022-11-29 11-52-47

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
1.4872864,10.035001,1.786950,2.260950,10.440609,77.493317,10.096925
1.5073849,10.323001,1.978050,2.473950,10.798030,76.755249,10.847294
1.5274836,9.903001,2.227950,1.771950,10.304029,80.097809,12.679144
1.5475821,8.751000,2.437950,0.900000,9.128724,84.342026,15.567359
1.5676806,7.768950,2.176950,0.831000,8.110873,84.119438,15.653490
1.5877792,7.864950,1.546950,1.726950,8.199564,77.841614,11.127413
1.6078776,9.325951,0.723000,2.515050,9.686153,74.950455,4.433023
1.6279761,11.419050,0.073950,2.613000,11.714434,77.111282,0.371043
1.6480747,12.400950,-0.304950,2.052000,12.573276,80.607124,358.591339
1.6681728,11.689951,-0.978000,1.324050,11.805276,83.560303,355.217682
1.6882715,10.411051,-1.531950,1.147050,10.585489,83.779182,351.629181
1.7083700,10.360950,-2.092050,1.641000,10.696674,81.175278,348.584503
1.7284684,12.046950,-3.490950,1.674000,12.653775,82.397911,343.839539
1.7485670,13.993951,-4.947000,1.099050,14.883259,85.765152,340.531006
1.7686654,13.684951,-5.467050,0.301950,14.739664,88.826180,338.223602
1.7887641,11.215951,-5.397000,-0.267000,12.449758,91.228874,334.303619
1.8088627,9.154051,-5.088000,0.316050,10.477799,88.271484,330.933838
1.8289611,9.123000,-4.746000,0.738000,10.310107,85.895241,332.515472
1.8490597,9.421950,-4.386000,0.783000,10.422247,85.691437,335.037598
1.8691581,8.761050,-4.212000,0.769050,9.751328,85.476601,334.323425
1.8892565,7.575000,-4.042050,1.272000,8.679676,81.572998,331.915436
1.9093553,6.232050,-3.639000,1.657050,7.404498,77.068283,329.718628
1.9294537,6.583951,-3.340050,1.972950,7.641785,75.037949,333.101227
1.9495522,7.386000,-3.202950,1.902000,8.272212,76.707260,336.555969
1.9696507,7.930050,-3.469050,1.408050,8.769414,80.760384,336.372711
1.9897492,8.634001,-3.381000,1.329000,9.367143,81.843414,338.615112
2.0098476,9.901051,-2.881950,1.308000,10.394580,82.771034,343.771027
2.0299463,10.345950,-2.190000,1.285950,10.653096,83.066841,348.048218
2.0500448,10.009050,-2.053950,0.987000,10.265182,84.482468,348.403381
2.0701432,9.745050,-2.029950,1.164000,10.022056,83.330399,348.233215
2.0902419,10.642950,-1.909950,1.650000,10.938135,81.323906,349.826172
2.1103404,11.569950,-1.489050,2.290050,11.888033,78.893410,352.666351
2.1304390,12.483001,-1.146000,2.380950,12.759605,79.245537,354.754669
2.1505375,13.732950,-1.516950,1.750950,13.926984,82.777458,353.696625
2.1706359,13.170001,-1.540950,1.638000,13.360633,82.957878,353.326477
2.1907346,12.028050,-1.555950,1.489950,12.219449,82.996346,352.629150
2.2108331,11.395950,-1.741950,1.072950,11.578139,84.682755,351.309204
