"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.669716603144387E9,"2022-11-29 11:10:03.144 UTC+01:00"
"PAUSE",7.941636633331655E1,1.669716682560043E9,"2022-11-29 11:11:22.560 UTC+01:00"
