"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.010868750E-1,-4.129462540E-1,-5.118284374E-3,7.871823907E-1
8.111468750E-1,-4.460797012E-1,-4.334076867E-2,6.413724422E-1
8.212068750E-1,-4.506117404E-1,-6.394056976E-2,4.549932778E-1
8.312668750E-1,-4.353587329E-1,-7.704412192E-2,3.110091984E-1
8.413268750E-1,-4.400488436E-1,-8.003462106E-2,2.196118236E-1
8.513868750E-1,-4.448611736E-1,-9.612756968E-2,1.340753436E-1
8.614468750E-1,-4.049527049E-1,-1.305507421E-1,6.206601858E-2
8.715068750E-1,-3.275766969E-1,-2.491796464E-1,3.713057563E-2
8.815668750E-1,-2.553031147E-1,-5.332907438E-1,9.969851375E-2
8.916268750E-1,-5.871785805E-2,-5.718368292E-1,-3.705134988E-2
9.016868750E-1,2.204336673E-1,-6.594271064E-1,-2.105703056E-1
9.117468750E-1,3.613854647E-1,-6.797446609E-1,-3.532483578E-1
9.218068750E-1,3.734809458E-1,-5.665155649E-1,-4.738151133E-1
9.318678750E-1,3.348022699E-1,-4.333588481E-1,-5.774722099E-1
9.419278750E-1,2.627176046E-1,-3.227398396E-1,-6.341850162E-1
9.519878750E-1,1.838401109E-1,-2.579935789E-1,-6.408557296E-1
9.620478750E-1,1.158839837E-1,-2.240909189E-1,-6.233747005E-1
9.721078750E-1,8.384296298E-2,-1.720713824E-1,-6.088847518E-1
9.821678750E-1,1.233894750E-1,-2.421141136E-3,-5.898762345E-1
9.922278750E-1,2.054188401E-1,1.809356362E-1,-5.948811173E-1
1.002287875E0,2.634422779E-1,1.688456684E-1,-6.012306809E-1
1.012347875E0,3.128207326E-1,1.940785795E-1,-6.421954036E-1
1.022407875E0,3.271332085E-1,1.931942254E-1,-6.932948828E-1
1.032467875E0,3.154858947E-1,1.753662229E-1,-7.103713751E-1
1.042527875E0,2.854947746E-1,1.806137413E-1,-7.024819255E-1
1.052587875E0,2.267955095E-1,1.950965375E-1,-6.729328036E-1
1.062647875E0,1.669663638E-1,2.166192234E-1,-6.397117376E-1
1.072707875E0,1.171287671E-1,2.535117269E-1,-6.298969388E-1
1.082767875E0,8.472973853E-2,2.951913178E-1,-6.398279667E-1
1.092827875E0,7.677833736E-2,3.531699181E-1,-6.777141094E-1
1.102887875E0,1.039007902E-1,4.263921082E-1,-7.401120067E-1
1.112947875E0,1.472927481E-1,4.808500409E-1,-8.074646592E-1
1.123007875E0,1.878437847E-1,5.046433210E-1,-8.679540157E-1
1.133067875E0,2.137371600E-1,5.397731066E-1,-8.964903355E-1
1.143127875E0,2.369324565E-1,5.364074111E-1,-8.984680772E-1
1.153187875E0,2.595650554E-1,4.854046404E-1,-8.727275729E-1
1.163247875E0,2.068749666E-1,4.752298594E-1,-8.246061206E-1
1.173307875E0,2.079388946E-1,4.263917506E-1,-7.772729397E-1
1.183367875E0,1.919248104E-1,3.754417002E-1,-7.001159787E-1
1.193427875E0,3.009335995E-1,2.298765033E-1,-6.256257892E-1
1.203487875E0,4.417988360E-1,2.246921510E-2,-5.596815348E-1
1.213547875E0,5.409352779E-1,-1.669430584E-1,-4.684285820E-1
1.223607875E0,6.256384850E-1,-2.784198821E-1,-3.886573613E-1
1.233667875E0,6.539763808E-1,-3.016282618E-1,-3.244813085E-1
1.243727875E0,6.436279416E-1,-3.459697068E-1,-2.866885662E-1
1.253788000E0,5.715436339E-1,-3.752966821E-1,-2.899011374E-1
1.263848000E0,4.503463805E-1,-3.706733584E-1,-2.817385495E-1
1.273908000E0,3.147150278E-1,-3.644719124E-1,-2.300191522E-1
1.283968000E0,1.627833694E-1,-3.770194054E-1,-1.455301493E-1
1.294028000E0,9.114185348E-3,-3.715434074E-1,-6.260198355E-2
1.304088000E0,-1.345212162E-1,-3.860743046E-1,8.770041168E-3
1.314148000E0,-2.390148640E-1,-3.994417787E-1,9.568363428E-2
1.324208000E0,-3.122162223E-1,-3.918131888E-1,1.947298497E-1
1.334268000E0,-3.667804003E-1,-3.730064929E-1,2.893077433E-1
1.344328000E0,-4.091796875E-1,-3.703305721E-1,3.717761934E-1
1.354388000E0,-4.327135086E-1,-3.953866661E-1,4.483660460E-1
1.364448000E0,-4.512251914E-1,-4.471878409E-1,5.324960351E-1
1.374508000E0,-4.781076908E-1,-5.345155597E-1,6.308558583E-1
1.384568000E0,-5.094147921E-1,-6.613148451E-1,7.418957353E-1
1.394628000E0,-5.281487703E-1,-8.392515182E-1,8.673133254E-1
1.404688000E0,-5.292659402E-1,-1.027066469E0,9.980828762E-1
1.414748000E0,-5.017735958E-1,-1.179045916E0,1.090279102E0
1.424808000E0,-4.174072444E-1,-1.284594893E0,1.103563905E0
1.434868000E0,-2.638203502E-1,-1.363953114E0,1.014463544E0
1.444928000E0,-2.483736165E-2,-1.405268431E0,8.336369395E-1
1.454988000E0,2.501731813E-1,-1.404086709E0,5.728842020E-1
1.465048000E0,4.848034084E-1,-1.309229016E0,2.420192212E-1
1.475108000E0,6.625313163E-1,-1.090673327E0,-9.718547761E-2
1.485168000E0,7.927045226E-1,-8.151916862E-1,-3.827075064E-1
1.495228000E0,8.849990368E-1,-5.710242391E-1,-5.928514004E-1
1.505288000E0,9.278450608E-1,-4.262644649E-1,-7.482254505E-1
1.515348000E0,9.444842339E-1,-3.767379224E-1,-8.766723871E-1
1.525408000E0,9.450523257E-1,-4.368107319E-1,-1.010922313E0
1.535468000E0,9.039538503E-1,-5.604104400E-1,-1.167726278E0
1.545528000E0,7.891833186E-1,-6.712500453E-1,-1.328201413E0
1.555588000E0,6.071775556E-1,-6.806978583E-1,-1.469150543E0
1.565648000E0,4.298571348E-1,-6.072980165E-1,-1.597767472E0
1.575708000E0,2.861369848E-1,-5.239328146E-1,-1.683652043E0
1.585768000E0,1.618343741E-1,-4.256199002E-1,-1.717659712E0
1.595828000E0,3.305055574E-2,-2.763507962E-1,-1.728167772E0
1.605888000E0,-9.757779539E-2,-8.571229875E-2,-1.706887484E0
1.615948000E0,-2.943648994E-1,1.388017535E-1,-1.658294678E0
1.626008000E0,-5.899485350E-1,3.513052464E-1,-1.599093437E0
1.636068000E0,-9.309498072E-1,5.200349092E-1,-1.547558188E0
1.646129000E0,-1.225446939E0,6.427950859E-1,-1.470342278E0
1.656188000E0,-1.423718929E0,7.294914126E-1,-1.351313591E0
1.666249000E0,-1.490723014E0,7.891822457E-1,-1.225101709E0
1.676309000E0,-1.436949253E0,7.994008064E-1,-1.095886111E0
1.686369000E0,-1.273034930E0,7.694538236E-1,-9.784385562E-1
1.696429000E0,-1.026648879E0,7.240881920E-1,-8.811212778E-1
1.706489000E0,-7.484847903E-1,6.602462530E-1,-8.284771442E-1
1.716549000E0,-4.877018929E-1,5.809682012E-1,-8.360602856E-1
1.726609000E0,-2.636725307E-1,4.767625630E-1,-8.825089931E-1
1.736669000E0,-7.169962674E-2,3.417261541E-1,-8.892446756E-1
1.746729000E0,6.829596311E-2,1.933100522E-1,-8.223205805E-1
1.756789000E0,1.468027383E-1,6.400159001E-2,-6.874325275E-1
1.766849000E0,1.990870237E-1,-4.512188584E-2,-5.031135678E-1
1.776909000E0,2.368274778E-1,-1.403506696E-1,-3.161258399E-1
1.786969000E0,2.790848613E-1,-2.275374830E-1,-1.546317190E-1
1.797029000E0,3.578286767E-1,-3.585152328E-1,-2.618107386E-2
1.807089000E0,5.486747622E-1,-6.139882803E-1,5.063876510E-2
1.817149000E0,4.833069146E-1,-7.841083407E-1,7.107534446E-3
1.827209000E0,2.518361211E-1,-7.172483206E-1,-1.723653078E-2
1.837269000E0,-1.836341806E-2,-4.638128579E-1,-1.072137151E-2
