Keuwl Accelerometer Data File
2022-11-29 12-10-09

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
1.4872757,6.201000,-1.539000,2.119950,6.731650,71.643845,346.061646
1.5073742,6.514050,-2.776950,1.177950,7.178570,80.555473,336.911377
1.5274724,7.294950,-3.994050,1.240950,8.408846,81.513481,331.298889
1.5475708,8.287050,-5.119050,3.007950,10.194490,72.839081,328.295685
1.5676692,10.143001,-6.006001,4.921950,12.774118,67.337234,329.368835
1.5877672,11.316001,-7.414051,5.571000,14.630655,67.618256,326.767883
1.6078657,11.989051,-8.829000,4.905000,15.676339,71.766403,323.631256
1.6279640,12.112051,-8.743051,2.491050,15.144241,80.532494,324.176483
1.6480625,12.250951,-8.932051,0.871950,15.186429,86.708473,323.904572
1.6681606,13.038001,-8.893950,1.866000,15.892570,83.257156,325.699921
1.6882589,13.086000,-8.580001,2.991000,15.931287,79.178856,326.748657
1.7083572,12.199950,-7.708050,3.163950,14.773741,77.633728,327.714905
1.7284557,11.793000,-7.066950,3.214050,14.119021,76.841850,329.067871
1.7485538,11.035951,-6.604050,3.958950,13.456559,72.890289,329.103180
1.7686522,10.914001,-5.806950,4.261050,13.076415,70.982452,331.984161
1.7887506,11.158051,-5.424000,3.532950,12.899753,74.104874,334.075317
1.8088490,11.098950,-4.915950,2.878950,12.475641,76.657845,336.110474
1.8289473,11.419050,-4.678950,2.176950,12.531017,79.995537,337.718658
1.8490456,10.990951,-4.636050,1.923000,12.082710,80.842262,337.129700
1.8691440,10.129050,-3.747000,1.827000,10.953337,80.398270,339.699249
1.8892422,10.267051,-3.333000,1.801050,10.943720,80.527519,342.014984
1.9093406,10.143001,-3.004950,2.052000,10.775940,79.022453,343.497620
1.9294391,9.865050,-3.076050,2.032950,10.531581,78.870117,342.681854
1.9495373,9.477000,-3.499950,1.329000,10.189672,82.505783,339.730316
1.9696356,10.387051,-4.219050,0.168000,11.212467,89.141487,337.893799
1.9897338,11.953951,-5.028000,-1.090950,13.014142,94.808640,337.187683
2.0098324,13.077001,-5.349000,-1.291950,14.187632,95.224693,337.753540
2.0299304,14.004001,-5.352000,-0.592950,15.003584,92.264954,339.084320
2.0500288,15.333001,-6.441000,-0.150000,16.631594,90.516754,337.213959
2.0701270,15.963000,-7.531050,-0.045000,17.650385,90.146080,334.742920
2.0902255,15.505051,-7.689000,-0.298050,17.309423,90.986618,333.623047
2.1103239,14.770051,-7.917000,-0.267000,16.760208,90.912796,331.807922
2.1304221,14.205001,-7.917000,0.226950,16.263838,89.200455,330.867371
2.1505206,13.362000,-7.918951,0.366000,15.536628,88.650146,329.347015
2.1706188,12.421051,-8.317050,-0.114000,14.948874,90.436943,326.194000
2.1907172,11.491051,-9.028050,-0.816000,14.636113,93.196037,321.844727
2.2108157,10.429951,-9.274950,-0.804000,13.980522,93.296822,318.354553
2.2309136,9.742950,-8.977950,0.141000,13.249474,89.390251,317.339996
2.2510123,8.682000,-8.343000,0.637050,12.057720,86.971458,316.140717
2.2711103,7.396050,-7.476000,0.316050,10.521028,88.278587,314.691986
2.2912087,5.923050,-6.826951,0.354000,9.045170,87.757050,310.944855
2.3113070,5.941950,-5.883000,0.807000,8.400459,84.487312,315.285614
2.3314054,6.808950,-5.569950,1.558950,8.934007,79.950661,320.715668
2.3515038,6.361050,-5.140950,1.612050,8.336128,78.849831,321.055145
2.3716021,5.925000,-5.173950,0.955950,7.923965,83.070938,318.871216
2.3917005,7.101000,-6.432000,-0.442050,9.591154,92.641663,317.830109
2.4117987,8.779950,-8.511001,-2.221950,12.428263,100.298828,315.891113
2.4318972,9.204000,-10.252050,-2.808000,14.060691,101.519753,311.916595
2.4519956,8.311050,-10.678050,-1.012050,13.569030,94.277397,307.894714
2.4720936,7.117950,-10.021951,0.996000,12.332750,85.367714,305.383728
2.4921923,7.434000,-9.907050,0.958050,12.423038,85.577026,306.883636
2.5122905,6.499950,-8.929951,1.015050,11.091605,84.749222,306.050201
2.5323887,4.929000,-7.483050,1.237950,9.045641,82.134041,303.372437
2.5524871,4.584000,-7.324950,1.641000,8.795501,79.247162,302.038605
2.5725853,4.177050,-6.967950,2.352000,8.457659,73.853691,300.941254
2.5926840,3.736050,-6.814950,1.938000,8.009835,75.998192,298.732178
2.6127820,3.442050,-7.186050,0.442950,7.980177,86.818092,295.593994
2.6328802,2.512050,-6.529950,-1.675950,7.194404,103.470924,291.041565
2.6529789,2.467050,-6.276000,-2.938050,7.355722,113.542160,291.459442
2.6730771,3.481950,-6.340950,-0.682050,7.266142,95.386108,298.772125
2.6931756,5.178000,-6.199950,0.262950,8.082092,88.135559,309.867554
2.7132738,6.229050,-6.028950,-2.755950,9.096404,107.636162,315.935211
2.7333720,6.754050,-6.601950,-5.850000,11.109700,121.773788,315.652466
2.7534704,7.972950,-9.153001,-6.247950,13.652188,117.235695,311.058319
2.7735686,8.719951,-10.666051,-2.794050,14.057343,101.464508,309.267456
2.7936671,10.227000,-10.639951,1.666950,14.851895,83.555649,313.866272
