Keuwl Accelerometer Data File
2022-12-12 11-26-30

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
2.6717255,2.581856,6.084948,-0.169890,6.612218,91.472282,67.008392
2.6729124,2.538785,6.130412,-0.198604,6.638284,91.714432,67.504105
2.6740992,2.483750,6.178268,-0.222533,6.662547,91.914063,68.099182
2.6752863,2.419144,6.216553,-0.232104,6.674703,91.992783,68.736725
2.6764729,2.364109,6.240481,-0.248854,6.677915,92.135628,69.251595
2.6776600,2.311467,6.266802,-0.265603,6.684776,92.277107,69.753853
2.6788468,2.246861,6.295516,-0.272782,6.690017,92.336853,70.358589
2.6800337,2.179862,6.324230,-0.279960,6.695227,92.396515,70.981743
2.6812208,2.117648,6.343373,-0.289532,6.693776,92.479034,71.539116
2.6824076,2.050649,6.352944,-0.306281,6.682729,92.626884,72.110588
2.6835945,1.981257,6.355337,-0.311067,6.664267,92.675362,72.685287
2.6847816,1.914258,6.352944,-0.306281,6.642145,92.642952,73.231483
2.6859684,1.861616,6.355337,-0.303888,6.629349,92.627350,73.673546
2.6871550,1.806581,6.355337,-0.301496,6.613996,92.612701,74.131561
2.6883421,1.741975,6.355337,-0.308674,6.596974,92.681862,74.671898
2.6895289,1.677369,6.345766,-0.327817,6.571892,92.859192,75.193710
2.6907160,1.612762,6.329016,-0.344566,6.540349,93.019920,75.704109
2.6919029,1.545763,6.305088,-0.378066,6.502803,93.332993,76.224983
2.6930897,1.471586,6.283552,-0.416351,6.466989,93.691315,76.819084
2.6942766,1.399801,6.269196,-0.449851,6.439303,94.005951,77.413315
2.6954637,1.335195,6.254838,-0.480957,6.413819,94.300514,77.950157
2.6966505,1.265803,6.240481,-0.509671,6.387928,94.576302,78.533836
2.6978376,1.191626,6.240481,-0.538385,6.376005,94.843781,79.189453
2.6990242,1.117448,6.233303,-0.552742,6.356751,94.988373,79.836510
2.7002110,1.043271,6.218946,-0.559920,6.330657,95.074203,80.476913
2.7013981,0.973879,6.211768,-0.571885,6.313601,95.196960,81.089722
2.7025850,0.911665,6.206982,-0.576670,6.300025,95.251900,81.644287
2.7037718,0.835095,6.202196,-0.574277,6.284458,95.243034,82.331528
2.7049589,0.748953,6.209375,-0.557528,6.279180,95.093994,83.122406
2.7061458,0.667598,6.206982,-0.533599,6.265544,94.885460,83.861099
2.7073326,0.593420,6.214160,-0.512064,6.263398,94.689453,84.545090
2.7085197,0.514457,6.228518,-0.483350,6.268391,94.422417,85.278259
2.7097063,0.428315,6.240481,-0.445065,6.270976,94.069832,86.073662
2.7108932,0.342174,6.252446,-0.387637,6.273788,93.542381,86.867538
2.7120802,0.263211,6.262017,-0.318245,6.275620,92.906792,87.593109
2.7132671,0.200997,6.262017,-0.253639,6.270374,92.318268,88.161560
2.7144542,0.138784,6.266802,-0.189033,6.271188,91.727333,88.731346
2.7156410,0.076570,6.283552,-0.124427,6.285251,91.134338,89.301834
2.7168279,0.023928,6.285945,-0.052642,6.286211,90.479813,89.781898
2.7180150,-0.031107,6.269196,0.011964,6.269285,89.890656,90.284286
2.7192018,-0.090927,6.252446,0.081356,6.253636,89.254593,90.833176
2.7203884,-0.153141,6.228518,0.162712,6.232524,88.504013,91.408447
2.7215755,-0.232104,6.209375,0.244068,6.218503,87.750641,92.140694
2.7227623,-0.306281,6.185447,0.332602,6.201950,86.925827,92.834770
2.7239492,-0.366102,6.151947,0.413958,6.176718,86.157204,93.405647
2.7251363,-0.413958,6.118447,0.485743,6.151642,85.471123,93.870583
2.7263231,-0.459422,6.089734,0.559920,6.132653,84.761513,94.314339
2.7275100,-0.504886,6.058627,0.634098,6.112606,84.045647,94.763641
2.7286971,-0.552742,6.027520,0.705883,6.093832,83.348175,95.239540
2.7298839,-0.586242,6.001199,0.792024,6.081560,82.516899,95.579376
2.7310708,-0.600598,5.962914,0.885344,6.058126,81.596603,95.751564
2.7322576,-0.605384,5.924629,0.961915,6.032661,80.824959,95.834290
2.7334445,-0.610170,5.893522,1.031307,6.014109,80.126053,95.910904
2.7346315,-0.619741,5.874380,1.105484,6.009535,79.399788,96.022369
2.7358184,-0.634098,5.857630,1.177269,6.008317,78.700363,96.178307
2.7370052,-0.641276,5.836094,1.251446,6.003112,77.967514,96.270569
2.7381923,-0.650848,5.814559,1.316052,5.997057,77.323288,96.386772
2.7393792,-0.662812,5.793024,1.363909,5.988213,76.834442,96.527145
2.7405660,-0.667598,5.776274,1.423729,5.986487,76.241859,96.592758
2.7417531,-0.667598,5.757131,1.502693,5.987347,75.464607,96.614479
2.7429397,-0.669990,5.740382,1.581656,5.991870,74.694420,96.657173
2.7441266,-0.667598,5.726025,1.658226,5.998563,73.952316,96.650093
2.7453136,-0.655633,5.704489,1.737189,5.999074,73.167412,96.556404
2.7465005,-0.622134,5.680561,1.820938,5.997636,72.325485,96.250114
2.7476873,-0.581456,5.654240,1.897508,5.992417,71.539452,95.871391
2.7488744,-0.540778,5.630311,1.974079,5.990813,70.760498,95.486290
2.7500613,-0.490529,5.596812,2.048256,5.979990,69.969620,95.008850
2.7512484,-0.428315,5.572884,2.115255,5.976186,69.271057,94.394943
