Keuwl Accelerometer Data File
2022-12-12 11-10-58

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
54.9284554,4.180261,-3.783053,-1.646262,5.873351,106.277725,317.855530
54.9296455,4.412365,-3.536592,-1.603191,5.877641,105.828629,321.287170
54.9308319,4.694718,-3.266203,-1.555335,5.926848,105.213821,325.172943
54.9320183,5.036891,-2.981457,-1.502693,6.042966,104.398705,329.377686
54.9332047,5.417350,-2.694318,-1.440479,6.219487,103.391724,333.556549
54.9343910,5.831309,-2.392823,-1.361516,6.448526,102.188934,337.689667
54.9355774,6.285945,-2.067399,-1.280160,6.739885,100.949165,341.794373
54.9367676,6.766902,-1.720439,-1.189233,7.082736,99.666084,345.735168
54.9379501,7.262217,-1.347159,-1.110270,7.469091,98.548615,349.490936
54.9391403,7.759924,-0.973879,-1.036092,7.889128,97.546547,352.846710
54.9403267,8.281559,-0.600598,-0.952343,8.357745,96.542915,355.852020
54.9415131,8.812766,-0.203390,-0.868595,8.857802,95.627457,358.677917
54.9427032,9.348758,0.203390,-0.801596,9.385264,94.899605,1.246320
54.9438858,9.915857,0.624527,-0.741775,9.963157,94.269722,3.603878
54.9450722,10.499705,1.057628,-0.669990,10.574085,93.632782,5.751960
54.9462624,11.093125,1.505085,-0.598206,11.210734,93.058762,7.726557
54.9474487,11.712867,1.962115,-0.516850,11.887317,92.491951,9.509768
54.9486313,12.351750,2.423929,-0.428315,12.594626,91.948875,11.102736
54.9498215,13.019348,2.904887,-0.337388,13.343749,91.448837,12.577857
54.9510078,13.706088,3.393023,-0.232104,14.121733,90.941750,13.904366
54.9521980,14.407186,3.900301,-0.124427,14.926313,90.477631,15.147972
54.9533844,15.134604,4.407579,-0.016750,15.763351,90.060883,16.236895
54.9545670,15.871593,4.905286,0.090927,16.612572,89.686394,17.174326
54.9557571,16.615761,5.402994,0.196211,17.473248,89.356598,18.013117
54.9569435,17.369499,5.893522,0.308674,18.344709,89.035873,18.742226
54.9581299,18.092133,6.357730,0.425922,19.181433,88.727646,19.361910
54.9593163,18.790836,6.790831,0.531207,19.987322,88.477058,19.869377
54.9605026,19.491934,7.188039,0.629312,20.784595,88.264946,20.242458
54.9616928,20.185852,7.544570,0.727418,21.561964,88.066696,20.493498
54.9628792,20.882164,7.872386,0.794417,22.330927,87.961288,20.655989
54.9640656,21.556940,8.169097,0.837488,23.068100,87.919418,20.754423
54.9652519,22.210180,8.420342,0.863809,23.768476,87.917259,20.762762
54.9664383,22.853849,8.628518,0.859023,24.443562,87.986031,20.684132
54.9676247,23.485554,8.807981,0.832702,25.096716,88.098595,20.557966
54.9688148,24.078974,8.958728,0.772882,25.703175,88.276886,20.408022
54.9699974,24.643681,9.078369,0.672383,26.271275,88.533417,20.223055
54.9711838,25.184458,9.174082,0.543171,26.808874,88.839058,20.015446
54.9723740,25.706093,9.253045,0.382852,27.323408,89.197151,19.796612
54.9735603,26.203800,9.315259,0.198604,27.811016,89.590836,19.569927
54.9747505,26.665615,9.367901,-0.011964,28.263275,90.024254,19.356892
54.9759331,27.089146,9.425328,-0.248854,28.683105,90.497101,19.184698
54.9771194,27.486353,9.480363,-0.502493,29.079706,90.990112,19.029909
54.9783096,27.857241,9.535398,-0.765703,29.453964,91.489662,18.895826
54.9794960,28.197021,9.588040,-1.040878,29.800772,92.001625,18.779951
54.9806786,28.510481,9.647861,-1.323231,30.127724,92.517281,18.695663
54.9818687,28.797621,9.724431,-1.610370,30.437819,93.032753,18.658886
54.9830551,29.056046,9.815358,-1.892723,30.727470,93.531487,18.665369
54.9842453,29.273792,9.915857,-2.163112,30.983192,94.003395,18.712687
54.9854279,29.453255,10.021141,-2.421536,31.205469,94.450615,18.790298
54.9866142,29.599216,10.143175,-2.684747,31.403908,94.904251,18.915762
54.9878044,29.704500,10.291531,-2.957529,31.575623,95.374481,19.109343
54.9889908,29.776285,10.451849,-3.223132,31.721552,95.831718,19.341713
54.9901772,29.809784,10.626525,-3.474379,31.837360,96.265106,19.620020
54.9913635,29.800213,10.810773,-3.713661,31.917343,96.681641,19.939507
54.9925499,29.769106,11.004591,-3.933800,31.980860,97.065552,20.287580
54.9937401,29.721251,11.217552,-4.134798,32.035648,97.415779,20.677776
54.9949265,29.663822,11.454442,-4.321438,32.090832,97.739113,21.113659
54.9961090,29.589645,11.708081,-4.486542,32.136513,98.025215,21.587799
54.9972992,29.498718,11.964113,-4.625326,32.166878,98.267311,22.076529
54.9984856,29.393433,12.224931,-4.756931,32.187748,98.498703,22.582762
54.9996719,29.273792,12.497713,-4.864608,32.199566,98.689339,23.118847
55.0008621,29.154152,12.772887,-4.934000,32.209557,98.811508,23.658974
55.0020447,29.017759,13.050455,-4.991428,32.206505,98.915749,24.215370
55.0032310,28.874191,13.339986,-5.027320,32.201679,98.981750,24.797117
55.0044212,28.740192,13.622339,-5.041677,32.202255,99.007446,25.360119
55.0056076,28.613373,13.883157,-5.039285,32.200336,99.003677,25.882578
55.0067940,28.465017,14.132010,-5.010571,32.172607,98.959732,26.402992
55.0079803,28.309484,14.376079,-4.960321,32.135704,98.879417,26.922300
55.0091667,28.163523,14.601004,-4.898108,32.099297,98.777191,27.403879
55.0103569,28.019953,14.797215,-4.833502,32.053677,98.672943,27.838341
55.0115433,27.876385,14.947963,-4.752146,31.986204,98.543983,28.201241
55.0127258,27.735207,15.081961,-4.654040,31.911867,98.385948,28.536638
55.0139160,27.596424,15.196816,-4.558327,31.832125,98.233002,28.840725
55.0151024,27.460033,15.273387,-4.453043,31.735775,98.066147,29.082998
55.0162926,27.335606,15.318851,-4.342973,31.634853,97.890739,29.266233
55.0174751,27.225536,15.337994,-4.240082,31.535093,97.727165,29.395515
55.0186615,27.115467,15.335600,-4.149155,31.426815,97.586678,29.491045
55.0198517,27.003004,15.306887,-4.063013,31.304489,97.457466,29.547108
55.0210381,26.904898,15.242280,-3.952943,31.174129,97.284836,29.532612
55.0222244,26.813971,15.139389,-3.830909,31.030081,97.091713,29.449432
55.0234108,26.715864,15.012569,-3.708875,30.868599,96.900787,29.333141
55.0245972,26.615366,14.880964,-3.579663,30.702358,96.695480,29.210070
55.0257835,26.524439,14.751752,-3.460021,30.547205,96.503738,29.080931
55.0269737,26.423941,14.617754,-3.347559,30.382717,96.325676,28.951418
55.0281563,26.289942,14.452649,-3.244668,30.175619,96.172729,28.799383
55.0293465,26.132015,14.270794,-3.156133,29.941593,96.050766,28.639124
55.0305328,25.952555,14.076976,-3.072384,29.683933,95.940941,28.475931
55.0317192,25.746771,13.883157,-2.988636,29.403574,95.833725,28.334404
55.0329094,25.509882,13.698910,-2.907279,29.100969,95.733597,28.235979
55.0340919,25.251457,13.505091,-2.813959,28.773981,95.612228,28.138948
55.0352783,24.971497,13.318451,-2.718246,28.431419,95.486267,28.073057
55.0364685,24.667608,13.143775,-2.624926,28.073832,95.365036,28.050272
55.0376549,24.337399,12.961920,-2.526821,27.689442,95.235855,28.039436
55.0388374,23.990440,12.789637,-2.419144,27.294106,95.084938,28.062698
55.0400276,23.621944,12.622139,-2.311467,26.882292,94.932655,28.117353
55.0412140,23.231915,12.452249,-2.201397,26.450453,94.774086,28.191198
55.0424042,22.820349,12.303894,-2.088934,26.009954,94.606552,28.331917
55.0435867,22.403999,12.160325,-1.969293,25.567377,94.417503,28.491991
55.0447731,21.987648,12.016755,-1.852045,25.125467,94.227211,28.657618
55.0459633,21.542582,11.873186,-1.749153,24.659985,94.067451,28.861341
55.0471497,21.095125,11.729616,-1.634298,24.192129,93.873566,29.075567
55.0483360,20.647667,11.590833,-1.517050,23.727095,93.665848,29.308233
55.0495224,20.197817,11.444871,-1.414158,23.258045,93.485901,29.537582
55.0507088,19.743179,11.301301,-1.301695,22.786112,93.274902,29.787489
55.0518990,19.276579,11.176874,-1.203590,22.314964,93.091827,30.105856
55.0530853,18.776480,11.042876,-1.134198,21.812557,92.980583,30.460758
55.0542679,18.276379,10.906486,-1.079163,21.310608,92.902679,30.826773
55.0554581,17.788244,10.786844,-1.038485,20.829212,92.857788,31.232748
55.0566444,17.297714,10.671989,-1.004985,20.349749,92.830742,31.672905
55.0578308,16.809580,10.559526,-0.983450,19.875431,92.836197,32.136425
55.0590210,16.335800,10.444671,-0.961915,19.413263,92.840134,32.593754
55.0602036,15.876378,10.329815,-0.945165,18.964645,92.856705,33.049660
55.0613937,15.428921,10.224531,-0.940379,18.533131,92.908463,33.531883
55.0625801,14.986248,10.133604,-0.935594,18.114990,92.960503,34.066303
55.0637665,14.541183,10.047462,-0.940379,17.699770,93.045525,34.643154
55.0649529,14.091332,9.958928,-0.954736,17.281708,93.166946,35.250431
55.0661392,13.658232,9.879965,-0.973879,16.885183,93.306458,35.880875
55.0673256,13.229917,9.817751,-1.000200,16.505131,93.474213,36.578636
55.0685158,12.811172,9.769895,-1.028914,16.144215,93.654091,37.329411
55.0697021,12.409178,9.714860,-1.067199,15.795731,93.873993,38.056576
55.0708847,12.011970,9.667004,-1.107877,15.458517,94.109779,38.826447
55.0720749,11.619547,9.626326,-1.143769,15.132358,94.334801,39.640377
55.0732613,11.234303,9.583255,-1.189233,14.814271,94.604439,40.465343
55.0744514,10.863415,9.552148,-1.239482,14.518734,94.897369,41.325008
55.0756340,10.506885,9.525827,-1.280160,14.239902,95.157822,42.196308
55.0768204,10.145568,9.494720,-1.323231,13.958267,95.439758,43.102005
55.0780106,9.812965,9.468399,-1.373480,13.705156,95.751625,43.976208
55.0791969,9.497113,9.446864,-1.406980,13.469150,95.996025,44.848022
55.0803833,9.186047,9.427721,-1.442872,13.241876,96.255531,45.743866
55.0815697,8.889337,9.413364,-1.497907,13.033628,96.599373,46.639999
55.0827560,8.609376,9.403793,-1.548156,12.843266,96.923401,47.525223
55.0839462,8.346166,9.384650,-1.586441,12.658868,97.199379,48.351955
55.0851326,8.092526,9.358330,-1.631905,12.479200,97.514091,49.148701
55.0863152,7.846066,9.341579,-1.686940,12.315503,97.872955,49.972836
55.0875053,7.616354,9.324830,-1.732404,12.163984,98.187950,50.758663
55.0886917,7.412964,9.308080,-1.770689,12.030284,98.463882,51.466145
55.0898781,7.231110,9.286545,-1.811367,11.908397,98.749130,52.093346
55.0910683,7.054041,9.262616,-1.840081,11.787343,98.980972,52.708538
55.0922508,6.876972,9.241081,-1.856830,11.667826,99.157043,53.344337
55.0934372,6.707082,9.217153,-1.868794,11.551331,99.310333,53.957592
55.0946274,6.553941,9.200403,-1.895115,11.453953,99.523674,54.535686
55.0958138,6.419943,9.181260,-1.909472,11.364739,99.672562,55.037052
55.0970001,6.293124,9.157332,-1.921437,11.276173,99.810959,55.502281
55.0981865,6.173482,9.133404,-1.938186,11.193191,99.971458,55.944317
55.0993729,6.068198,9.107083,-1.945365,11.115145,100.079781,56.323833
55.1005630,5.970092,9.075976,-1.942972,11.035872,100.140327,56.663456
55.1017494,5.867201,9.040084,-1.945365,10.951329,100.232170,57.015594
55.1029320,5.766703,9.001799,-1.957329,10.868228,100.375374,57.355698
55.1041222,5.682954,8.965906,-1.966900,10.795932,100.497292,57.631824
55.1053085,5.601598,8.934800,-1.964507,10.726968,100.552551,57.914692
55.1064987,5.527421,8.901300,-1.959722,10.659551,100.593895,58.161053
55.1076813,5.455636,8.874979,-1.957329,10.600017,100.640923,58.420086
55.1088676,5.388637,8.841479,-1.947758,10.535792,100.653587,58.638851
55.1100578,5.312066,8.800801,-1.923829,10.458167,100.600197,58.885284
55.1112442,5.242674,8.762517,-1.902294,10.386821,100.553001,59.107624
55.1124268,5.187640,8.719446,-1.883151,10.319235,100.514793,59.249447
55.1136169,5.120640,8.688339,-1.856830,10.254560,100.432304,59.486210
55.1148033,5.060820,8.652447,-1.823331,10.188292,100.309387,59.676617
55.1159897,5.000999,8.599805,-1.787439,10.107501,100.185913,59.820938
55.1171799,4.929214,8.551949,-1.761117,10.026690,100.116074,60.041500
55.1183624,4.855037,8.528020,-1.737189,9.965758,100.038841,60.346962
55.1195526,4.788038,8.501698,-1.708475,9.905709,99.931679,60.612396
55.1207390,4.721039,8.463413,-1.679762,9.835608,99.833389,60.846458
55.1219254,4.646862,8.417950,-1.655833,9.756894,99.770905,61.100502
55.1231117,4.567898,8.377272,-1.612762,9.677054,99.593590,61.397568
55.1242981,4.488935,8.343773,-1.557728,9.601854,99.336472,61.719826
55.1254845,4.433900,8.312666,-1.512264,9.541846,99.119118,61.924946
55.1266747,4.383651,8.279166,-1.464407,9.481850,98.884506,62.099682
55.1278610,4.328616,8.240881,-1.418944,9.416074,98.667137,62.288792
55.1290436,4.290331,8.204988,-1.380659,9.361357,98.481201,62.395248
55.1302338,4.259224,8.171490,-1.349552,9.313191,98.331924,62.470131
55.1314201,4.223332,8.149954,-1.313660,9.272755,98.144424,62.606667
55.1326103,4.192225,8.137990,-1.275374,9.242739,97.931358,62.745075
55.1337929,4.180261,8.133204,-1.229911,9.226933,97.660080,62.797985
55.1349792,4.175476,8.121240,-1.184447,9.208260,97.390358,62.790371
55.1361694,4.168297,8.102098,-1.141376,9.182670,97.140152,62.775478
55.1373558,4.173083,8.075776,-1.103091,9.156942,96.918938,62.672756
55.1385460,4.175476,8.051848,-1.064806,9.132397,96.695724,62.589939
55.1397285,4.168297,8.032705,-1.019342,9.107037,96.426529,62.574493
55.1409149,4.156333,8.018349,-0.973879,9.083912,96.154465,62.599911
55.1421051,4.137190,8.001599,-0.942772,9.057083,95.974869,62.658981
55.1432915,4.115655,7.972885,-0.911665,9.018683,95.801727,62.696926
55.1444740,4.082155,7.939385,-0.882952,8.970922,95.648407,62.789352
55.1456642,4.036692,7.905886,-0.859023,8.918286,95.527390,62.951454
55.1468506,4.003192,7.877172,-0.827917,8.874730,95.352859,63.060246
55.1480370,3.969693,7.836494,-0.796810,8.820658,95.182854,63.134827
55.1492271,3.931408,7.793423,-0.768096,8.762613,95.028778,63.231251
55.1504097,3.883551,7.759924,-0.739382,8.708907,94.870247,63.413754
55.1515999,3.826123,7.719246,-0.717847,8.645305,94.762932,63.634212
55.1527863,3.775874,7.673782,-0.708275,8.581715,94.734184,63.800568
55.1539726,3.713661,7.628319,-0.689133,8.512193,94.643654,64.042000
55.1551590,3.651447,7.573284,-0.669990,8.434251,94.556198,64.259033
55.1563454,3.601198,7.513463,-0.658026,8.357856,94.515656,64.391624
55.1575317,3.560520,7.467999,-0.643669,8.298350,94.448669,64.509583
55.1587219,3.512664,7.429714,-0.629312,8.242299,94.378883,64.695877
55.1599083,3.462414,7.391429,-0.614955,8.185335,94.308632,64.899902
55.1610909,3.409772,7.345965,-0.607777,8.121524,94.291763,65.100716
55.1622810,3.361916,7.300502,-0.600598,8.059809,94.273514,65.273705
55.1634674,3.309274,7.267003,-0.593420,8.007045,94.250214,65.516258
