"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.669717726005000E9,"2022-11-29 11:28:46.005 UTC+01:00"
"PAUSE",7.750911366665969E1,1.669717803513441E9,"2022-11-29 11:30:03.513 UTC+01:00"
