"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.546760417E-1,2.249380201E-1,2.839808226E0,-9.519703388E-1
7.647370417E-1,3.714432716E-1,2.898686409E0,-1.033638597E0
7.747980416E-1,6.385378242E-1,3.031777620E0,-1.047762036E0
7.848580416E-1,8.680794239E-1,3.093097925E0,-1.083534837E0
7.949190416E-1,9.705128670E-1,3.156297922E0,-1.174428225E0
8.049800416E-1,9.875783920E-1,3.281819582E0,-1.272467375E0
8.150410416E-1,8.542778492E-1,3.334303379E0,-1.313676596E0
8.251020417E-1,6.499052644E-1,3.387034893E0,-1.339599252E0
8.351630417E-1,5.158409476E-1,3.458653212E0,-1.382848024E0
8.452240417E-1,4.545437694E-1,3.526045561E0,-1.483818293E0
8.552850416E-1,4.789516330E-1,3.538115263E0,-1.476757169E0
8.653460416E-1,6.730936766E-1,3.572632313E0,-1.420683742E0
8.754070416E-1,9.250068665E-1,3.659295559E0,-1.390580654E0
8.854670416E-1,1.075135231E0,3.597109318E0,-1.357443929E0
8.955280416E-1,9.802222252E-1,3.354292870E0,-1.379957557E0
9.055890416E-1,6.986576319E-1,3.020371675E0,-1.475954652E0
9.156500417E-1,3.150804043E-1,2.646576643E0,-1.571268916E0
9.257110417E-1,-1.358819604E-1,2.283851862E0,-1.597422004E0
9.357720416E-1,-5.778988004E-1,1.982701778E0,-1.559457302E0
9.458330416E-1,-9.005543590E-1,1.804804802E0,-1.497413278E0
9.558940416E-1,-1.046612740E0,1.764023304E0,-1.407593369E0
9.659550416E-1,-1.088587046E0,1.835817695E0,-1.303237557E0
9.760160416E-1,-1.077691793E0,2.001278400E0,-1.242317796E0
9.860760416E-1,-1.022050142E0,2.174061775E0,-1.223044395E0
9.961370417E-1,-9.568911195E-1,2.262680054E0,-1.261254311E0
1.006198042E0,-9.588363171E-1,2.261160612E0,-1.381414771E0
1.016259042E0,-1.043666482E0,2.204872131E0,-1.593185902E0
1.026320042E0,-1.252262473E0,2.083773136E0,-1.831833124E0
1.036381042E0,-1.548031330E0,1.878900290E0,-1.995578408E0
1.046442042E0,-1.790829062E0,1.641448975E0,-2.112623692E0
1.056503042E0,-1.894266486E0,1.361379266E0,-2.188215017E0
1.066564042E0,-1.827963114E0,1.098444939E0,-2.213817596E0
1.076625042E0,-1.583014846E0,8.612530231E-1,-2.160686493E0
1.086685042E0,-1.203970671E0,5.859742165E-1,-2.045293331E0
1.096746042E0,-7.899612784E-1,2.989560068E-1,-1.921876431E0
1.106807042E0,-4.622747302E-1,7.569765300E-2,-1.806112885E0
1.116868042E0,-2.596422732E-1,-6.689491868E-2,-1.708934426E0
1.126929042E0,-1.677272469E-1,-2.060686350E-1,-1.627356291E0
1.136990042E0,-1.572951078E-1,-3.399792910E-1,-1.575516224E0
1.147051042E0,-2.178647071E-1,-4.248852432E-1,-1.514875054E0
1.157112042E0,-3.395560086E-1,-4.472669661E-1,-1.432275891E0
1.167173042E0,-5.068675280E-1,-4.621186256E-1,-1.303139210E0
1.177234042E0,-6.795343757E-1,-5.331060290E-1,-1.114759684E0
1.187294042E0,-8.077959418E-1,-6.856718659E-1,-9.159870744E-1
1.197355042E0,-8.435272574E-1,-8.519290686E-1,-7.468020916E-1
1.207416042E0,-8.010365367E-1,-9.851099849E-1,-5.998257995E-1
1.217477042E0,-7.012438774E-1,-1.141834617E0,-4.778786004E-1
1.227538042E0,-6.001375318E-1,-1.318688989E0,-3.679370284E-1
1.237599042E0,-5.548858643E-1,-1.471842647E0,-2.581931949E-1
1.247660042E0,-5.964088440E-1,-1.595896721E0,-1.392063797E-1
1.257721042E0,-6.599776745E-1,-1.674308896E0,-1.354698464E-2
1.267782042E0,-7.185054421E-1,-1.672236681E0,8.993528038E-2
1.277843042E0,-7.653512359E-1,-1.620266438E0,1.648502797E-1
1.287903042E0,-7.917951345E-1,-1.524770141E0,1.933563799E-1
1.297964042E0,-8.141592741E-1,-1.404013276E0,2.074460983E-1
1.308025042E0,-8.073706031E-1,-1.310222268E0,2.230559736E-1
1.318086042E0,-7.327935696E-1,-1.249454856E0,2.307312042E-1
1.328147042E0,-6.532899737E-1,-1.194446445E0,2.281071842E-1
1.338208042E0,-6.047315001E-1,-1.117884636E0,2.286081165E-1
1.348269042E0,-6.116405129E-1,-1.049414039E0,2.286575437E-1
1.358330042E0,-6.625910401E-1,-1.038137913E0,2.296088338E-1
1.368391042E0,-6.682185531E-1,-1.049016237E0,2.161960304E-1
1.378452042E0,-6.261070967E-1,-1.064172268E0,1.997696608E-1
1.388512042E0,-5.680520535E-1,-1.027732611E0,1.754893214E-1
1.398573042E0,-5.106603503E-1,-9.601978064E-1,1.548945606E-1
1.408634042E0,-4.546354413E-1,-8.999032974E-1,1.634292752E-1
1.418695042E0,-4.190202057E-1,-8.170158863E-1,1.840919405E-1
1.428756042E0,-4.254163206E-1,-7.015564442E-1,2.017762065E-1
1.438817042E0,-4.736440480E-1,-6.147669554E-1,2.133814543E-1
1.448878042E0,-4.985184968E-1,-5.194774270E-1,1.983655095E-1
1.458939042E0,-4.693137407E-1,-4.259900749E-1,1.880390942E-1
1.469000042E0,-4.036404490E-1,-3.505237997E-1,1.961337775E-1
1.479061042E0,-3.234316409E-1,-2.857858241E-1,2.222351581E-1
1.489120917E0,-2.584361136E-1,-2.505971491E-1,2.434125543E-1
1.499181917E0,-2.312026173E-1,-2.539665699E-1,2.614008784E-1
