"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.807727917E-1,-7.434843779E-1,6.689562201E-1,2.780870914E0
7.908347917E-1,-6.776590347E-1,5.866751671E-1,2.458281517E0
8.008957917E-1,-7.223711014E-1,4.663906693E-1,2.195567846E0
8.109567916E-1,-8.126661181E-1,4.126829803E-1,2.009220600E0
8.210187916E-1,-9.136614203E-1,3.433303237E-1,1.909897208E0
8.310797916E-1,-1.063717484E0,2.668262124E-1,1.854636908E0
8.411417917E-1,-1.250371218E0,2.326052189E-1,1.802621961E0
8.512027917E-1,-1.372616410E0,3.059396148E-1,1.636731267E0
8.612637916E-1,-1.400726914E0,3.763463795E-1,1.431581378E0
8.713257916E-1,-1.418167472E0,2.549187541E-1,1.324920774E0
8.813867916E-1,-1.389789343E0,4.374264479E-1,1.250636458E0
8.914477917E-1,-1.298755527E0,5.930160880E-1,1.291762352E0
9.015097917E-1,-1.225940466E0,7.079421282E-1,1.338352084E0
9.115707916E-1,-1.162444592E0,6.574448347E-1,1.416446924E0
9.216327916E-1,-1.097529531E0,4.615761340E-1,1.498649836E0
9.316937916E-1,-1.025833249E0,4.039453268E-1,1.496519566E0
9.417547917E-1,-9.775125384E-1,5.585188270E-1,1.398236036E0
9.518167917E-1,-9.791104198E-1,4.699737430E-1,1.318977952E0
9.618777917E-1,-9.682375789E-1,4.440192878E-1,1.190028667E0
9.719387916E-1,-9.545773864E-1,3.421232700E-1,9.310948849E-1
9.820007916E-1,-9.244912267E-1,2.126002759E-1,5.549582243E-1
9.920617917E-1,-8.928712010E-1,1.578086615E-1,1.288481653E-1
1.002123792E0,-8.558130264E-1,1.947217286E-1,-2.442820966E-1
1.012184792E0,-8.443717957E-1,2.770783901E-1,-4.599182606E-1
1.022245792E0,-8.698271513E-1,3.562751114E-1,-5.883669853E-1
1.032307792E0,-8.386772275E-1,3.955745995E-1,-6.988934875E-1
1.042368792E0,-6.824117303E-1,3.925095797E-1,-8.129686117E-1
1.052430792E0,-4.410510361E-1,3.035637438E-1,-9.089393616E-1
1.062491792E0,-1.249630749E-1,1.827111989E-1,-1.009385824E0
1.072552792E0,2.064401507E-1,1.443563551E-1,-1.133194804E0
1.082614792E0,5.038143396E-1,7.706466317E-2,-1.258211017E0
1.092675792E0,7.386401892E-1,-1.705597341E-2,-1.395132661E0
1.102736792E0,9.052799940E-1,-6.975679100E-2,-1.546939611E0
1.112798792E0,1.004699588E0,-1.181331128E-1,-1.692841649E0
1.122859792E0,1.073361158E0,-2.302228510E-1,-1.810558438E0
1.132921792E0,1.130393267E0,-3.510773480E-1,-1.876855969E0
1.142982792E0,1.177964807E0,-4.925660491E-1,-1.916130781E0
1.153043792E0,1.217366576E0,-6.540888548E-1,-1.957703471E0
1.163105792E0,1.258488655E0,-8.098791838E-1,-1.994259119E0
1.173166792E0,1.286477208E0,-9.170961976E-1,-2.002129555E0
1.183227792E0,1.286690712E0,-9.387561083E-1,-2.009638071E0
1.193289792E0,1.280729532E0,-8.891515136E-1,-2.049901009E0
1.203350792E0,1.304656029E0,-7.905974388E-1,-2.118894100E0
1.213412792E0,1.343374372E0,-6.804558039E-1,-2.162446737E0
1.223473792E0,1.373969674E0,-5.690364838E-1,-2.181782007E0
1.233534792E0,1.381853700E0,-4.679679573E-1,-2.190285683E0
1.243596792E0,1.369839191E0,-3.962782919E-1,-2.171555042E0
1.253657792E0,1.352398872E0,-3.711018562E-1,-2.131185293E0
1.263718792E0,1.338655949E0,-4.067851603E-1,-2.072326183E0
1.273780792E0,1.322525978E0,-4.914092422E-1,-1.972756147E0
1.283841792E0,1.285576582E0,-5.992462039E-1,-1.819391966E0
1.293903792E0,1.236106873E0,-6.950851083E-1,-1.689098954E0
1.303964792E0,1.185189724E0,-7.577943206E-1,-1.601497173E0
1.314025792E0,1.116846800E0,-7.911072969E-1,-1.565531492E0
1.324087792E0,1.021612167E0,-7.942489386E-1,-1.620037794E0
1.334148792E0,9.316748381E-1,-7.977123857E-1,-1.729373097E0
1.344209792E0,8.397321701E-1,-8.547673821E-1,-1.840455413E0
1.354271792E0,7.504763007E-1,-9.667418003E-1,-1.903049231E0
1.364332792E0,6.607627273E-1,-1.084178090E0,-1.889333129E0
1.374394792E0,5.673891306E-1,-1.168480754E0,-1.804521561E0
1.384455792E0,4.606058896E-1,-1.238095760E0,-1.671797752E0
