"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.669719958125493E9,"2022-11-29 12:05:58.125 UTC+01:00"
"PAUSE",2.328122023749747E2,1.669720190934731E9,"2022-11-29 12:09:50.935 UTC+01:00"
