"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.628805417E-1,6.283738017E-1,-1.834358722E-1,-2.066223323E-1
7.729415417E-1,7.045001984E-1,-1.329456270E-1,-3.311666846E-1
7.830025417E-1,7.520962358E-1,-9.791547060E-2,-4.346195757E-1
7.930625417E-1,7.716771364E-1,-7.500013709E-2,-5.128674507E-1
8.031235417E-1,7.843777537E-1,-9.294238687E-2,-5.574098825E-1
8.131845417E-1,8.105901480E-1,-1.802276224E-1,-5.693927407E-1
8.232445417E-1,8.274279833E-1,-3.266431391E-1,-5.582277179E-1
8.333055417E-1,8.026657701E-1,-4.865159392E-1,-5.688628554E-1
8.433665417E-1,7.220737338E-1,-6.342129707E-1,-5.939806700E-1
8.534265417E-1,6.109589934E-1,-7.594821453E-1,-5.947655439E-1
8.634875417E-1,5.033893585E-1,-8.730720878E-1,-5.422415733E-1
8.735485417E-1,3.823779821E-1,-9.275298715E-1,-4.247442484E-1
8.836085417E-1,2.460561097E-1,-8.930858970E-1,-2.840475738E-1
8.936695417E-1,1.240413338E-1,-7.824726701E-1,-1.531196237E-1
9.037305417E-1,6.951711327E-2,-6.097664237E-1,-2.778246440E-2
9.137905417E-1,9.813892096E-2,-3.811593950E-1,8.241991699E-2
9.238515417E-1,2.016544044E-1,-1.934107989E-1,1.146694720E-1
9.339125417E-1,3.635105491E-1,-1.083983183E-1,2.691366896E-2
9.439725417E-1,5.246908665E-1,-1.148727238E-1,-1.140136272E-1
9.540335417E-1,6.526263952E-1,-1.696086675E-1,-2.189399600E-1
9.640945417E-1,7.474967241E-1,-2.200483978E-1,-2.529506385E-1
9.741545417E-1,7.973682880E-1,-2.077804208E-1,-2.086049169E-1
9.842155417E-1,7.768052220E-1,-1.552620828E-1,-7.169553638E-2
9.942765417E-1,6.709843874E-1,-5.011336505E-2,1.115202606E-1
1.004336542E0,4.774385691E-1,8.160018921E-2,2.694041729E-1
1.014397542E0,2.379821390E-1,2.000261694E-1,3.643787801E-1
1.024458542E0,-2.467717417E-2,3.097244501E-1,3.662193120E-1
1.034518542E0,-2.948831022E-1,4.276372790E-1,2.948966920E-1
1.044579542E0,-5.791974068E-1,5.138413906E-1,1.542847008E-1
1.054640542E0,-8.119430542E-1,6.044774055E-1,-3.130172379E-3
1.064700542E0,-9.609194994E-1,7.041576505E-1,-1.446140707E-1
1.074761542E0,-1.059439659E0,8.716113567E-1,-2.713071406E-1
1.084822542E0,-1.182886839E0,1.071579695E0,-3.882446885E-1
1.094882542E0,-1.334474206E0,1.273896217E0,-4.872074723E-1
1.104943542E0,-1.513422847E0,1.454230905E0,-5.830828547E-1
1.115004542E0,-1.748903990E0,1.620173097E0,-6.878269315E-1
1.125064542E0,-2.037222147E0,1.740848899E0,-8.189223409E-1
1.135125542E0,-2.368784189E0,1.844106078E0,-9.480577707E-1
1.145186542E0,-2.643203974E0,1.914786935E0,-1.107835531E0
1.155246542E0,-2.460495234E0,1.531487703E0,-1.300108552E0
1.165307542E0,-1.922599912E0,1.081467032E0,-1.455199003E0
1.175368542E0,-1.338818073E0,8.762465119E-1,-1.758443117E0
1.185428542E0,-1.227106929E0,1.044133544E0,-1.963596821E0
1.195489542E0,-1.431500673E0,1.284883380E0,-2.009413958E0
1.205550542E0,-1.598076105E0,1.585501790E0,-1.967858911E0
1.215610542E0,-1.422116399E0,1.754673600E0,-1.894207954E0
1.225671542E0,-1.001640320E0,1.570647597E0,-1.907834053E0
1.235732542E0,-2.883705497E-1,1.018753409E0,-2.090225220E0
1.245792542E0,8.269669414E-1,4.393517971E-1,-1.972536922E0
1.255853542E0,1.847011447E0,-2.674075067E-1,-1.974726915E0
1.265914542E0,2.510811806E0,-5.160905719E-1,-2.279658794E0
1.275974542E0,2.957289934E0,-7.942151427E-1,-2.428711653E0
1.286035542E0,3.235155582E0,-5.304117203E-1,-2.632182837E0
1.296096542E0,3.048213005E0,-1.900983304E-1,-3.180574417E0
1.306156542E0,2.519551516E0,4.616874456E-1,-3.885243416E0
1.316217542E0,1.815350413E0,1.036288977E0,-4.523787498E0
1.326278542E0,1.079338193E0,1.302861810E0,-4.929337502E0
1.336338542E0,5.684200525E-1,1.358092904E0,-5.123620510E0
1.346399542E0,4.904203117E-1,1.457950234E0,-5.351058006E0
1.356460542E0,6.938199997E-1,1.732199192E0,-5.615550041E0
1.366520542E0,9.790014029E-1,1.928302169E0,-5.918273449E0
1.376581542E0,1.174626827E0,2.043112040E0,-6.159478664E0
1.386642542E0,1.191590071E0,2.259964228E0,-6.081024170E0
1.396702542E0,1.043845654E0,2.679748058E0,-5.928606033E0
1.406763542E0,8.550112247E-1,3.175169230E0,-5.824517250E0
1.416824542E0,8.292686343E-1,3.534990788E0,-5.618676186E0
1.426884542E0,1.018797636E0,3.653147459E0,-5.309771538E0
1.436945542E0,1.305143237E0,3.572350502E0,-5.018543720E0
1.447006542E0,1.702231765E0,3.218414307E0,-4.767779350E0
1.457066542E0,2.274246931E0,2.758400917E0,-4.298408508E0
1.467127542E0,2.809171200E0,2.496146679E0,-3.695473671E0
1.477188542E0,3.095832825E0,2.353553295E0,-3.164396524E0
1.487248542E0,3.132013083E0,2.181064606E0,-2.754786253E0
1.497309542E0,3.143974781E0,1.756140709E0,-2.349390268E0
1.507370542E0,2.978993177E0,1.768673539E0,-2.242948532E0
1.517430542E0,2.874244690E0,2.234970331E0,-2.340697765E0
1.527491542E0,2.871966839E0,2.601058722E0,-2.456684113E0
1.537552542E0,2.940678596E0,2.788836718E0,-2.403633595E0
1.547612542E0,3.100268126E0,2.738947868E0,-2.253130913E0
1.557673542E0,3.282986164E0,2.551851749E0,-2.165847778E0
1.567734542E0,3.427916765E0,2.255397558E0,-2.117835760E0
1.577794542E0,3.595159054E0,1.865404367E0,-2.059352636E0
1.587855542E0,3.904094458E0,1.478553653E0,-1.990970254E0
1.597916542E0,4.275228500E0,1.028449535E0,-1.960702777E0
1.607976542E0,4.567836285E0,5.820725560E-1,-2.011583090E0
1.618037542E0,4.732287884E0,2.483551204E-1,-2.111170053E0
1.628098542E0,4.708345890E0,1.096403748E-1,-2.168933630E0
1.638159542E0,4.535760403E0,1.325891614E-1,-2.216565132E0
1.648219542E0,4.269951344E0,1.758404970E-1,-2.263547421E0
1.658280542E0,3.943223715E0,2.118423730E-1,-2.245097160E0
1.668341542E0,3.533987999E0,2.172275484E-1,-2.127331495E0
1.678401542E0,3.111455441E0,2.396820039E-1,-1.932473660E0
1.688462542E0,2.742484808E0,3.683837950E-1,-1.707389355E0
1.698523542E0,2.368191719E0,4.046075642E-1,-1.458096623E0
1.708583542E0,1.921407700E0,4.393570125E-1,-1.170550585E0
1.718644542E0,1.457750797E0,4.725050926E-1,-7.696660757E-1
1.728705542E0,9.989625812E-1,3.037810624E-1,-3.338893354E-1
1.738764750E0,5.610598922E-1,-1.512772441E-1,9.034568071E-2
1.748825750E0,9.809970856E-2,-8.196014762E-1,5.285885334E-1
1.758886750E0,-3.688513339E-1,-1.460366249E0,9.540246129E-1
1.768946750E0,-8.185822964E-1,-1.884434700E0,1.258865476E0
1.779007750E0,-1.199389815E0,-2.084487915E0,1.411661029E0
1.789068750E0,-1.495872617E0,-2.158132553E0,1.482712269E0
1.799128750E0,-1.699200034E0,-1.953808904E0,1.515016913E0
1.809189750E0,-1.794344425E0,-1.634676695E0,1.494765997E0
1.819250750E0,-1.791558266E0,-1.659896255E0,1.587040901E0
1.829310750E0,-1.753459096E0,-1.624586940E0,1.837543964E0
1.839371750E0,-1.811967731E0,-1.788805366E0,2.200201273E0
1.849432750E0,-1.891659379E0,-2.088876724E0,2.577031612E0
1.859493750E0,-1.855381608E0,-2.807090521E0,2.969421387E0
1.869553750E0,-1.925651550E0,-3.160823822E0,3.308145285E0
1.879614750E0,-2.045557737E0,-3.242217064E0,3.534398794E0
1.889675750E0,-2.111990690E0,-3.146103144E0,3.581679344E0
1.899735750E0,-2.096779108E0,-3.089440107E0,3.480706930E0
1.909796750E0,-2.088058233E0,-3.003175497E0,3.313042164E0
1.919857750E0,-2.173111200E0,-2.795561075E0,3.277290821E0
1.929917750E0,-2.389878035E0,-2.542997122E0,3.453674793E0
1.939978750E0,-2.698585510E0,-2.331221581E0,3.781762600E0
1.950039750E0,-3.067807913E0,-2.213910103E0,4.204880238E0
1.960099750E0,-3.447517633E0,-2.262422323E0,4.639196396E0
1.970160750E0,-3.732088327E0,-2.477751732E0,4.998432159E0
1.980221750E0,-3.788346767E0,-2.779016256E0,5.136671066E0
1.990281750E0,-3.620347023E0,-3.185132742E0,5.036727905E0
2.000342750E0,-3.350654364E0,-3.624599695E0,4.856744289E0
2.010403750E0,-3.117714167E0,-3.878789663E0,4.722209454E0
2.020463750E0,-3.047922850E0,-3.812934875E0,4.696778774E0
2.030524750E0,-3.254311323E0,-3.429373741E0,4.713164806E0
2.040585750E0,-3.758843660E0,-2.855753422E0,4.663238049E0
2.050646750E0,-4.500634193E0,-2.153818607E0,4.577611923E0
2.060706750E0,-5.304383755E0,-1.570730329E0,4.588662624E0
2.070767750E0,-5.928525448E0,-1.273801804E0,4.639126301E0
2.080828750E0,-6.124649048E0,-1.262723804E0,4.580367088E0
2.090888750E0,-5.940743923E0,-1.740788460E0,4.576728344E0
2.100949750E0,-5.562187672E0,-2.307653189E0,4.695542812E0
2.111010750E0,-4.979995251E0,-2.369859695E0,4.456829071E0
2.121070750E0,-4.436404705E0,-2.275158644E0,3.962898731E0
2.131131750E0,-4.081195354E0,-1.931780815E0,3.552828789E0
2.141192750E0,-3.941189528E0,-1.440884709E0,3.468010664E0
2.151253750E0,-3.861951351E0,-1.202294827E0,3.668820381E0
2.161313750E0,-3.587963104E0,-1.177358270E0,3.824117661E0
2.171374750E0,-3.013536215E0,-1.414737821E0,3.844679356E0
2.181435750E0,-2.212564230E0,-2.014285088E0,3.940302610E0
2.191495750E0,-1.238877177E0,-2.511054039E0,4.011206150E0
2.201556750E0,-2.140987962E-1,-2.700943947E0,3.870575666E0
2.211617750E0,6.380723119E-1,-2.668956995E0,3.595815420E0
2.221677750E0,1.134811997E0,-2.459699154E0,3.355370283E0
2.231738750E0,1.318802118E0,-2.052818775E0,3.199160099E0
2.241799750E0,1.295160174E0,-1.479856610E0,3.084724903E0
2.251859750E0,1.117645502E0,-8.476861119E-1,3.031363964E0
